Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,31,78,2651,24.4,.546,.003,.393,10.7,28.3,19.6,15.7,1.1,4.3,11.4,28.2,,4.9,6.2,11.1,.201,,0.7,4.1,4.7,4.5
2,Bruce Bowen\bowenbr01,36,81,2448,7.0,.527,.502,.161,1.6,9.6,5.6,5.5,1.2,0.7,9.1,9.9,,0.9,3.4,4.4,.085,,-1.6,2.1,0.4,1.5
3,Tony Parker\parketo01,25,69,2312,20.0,.542,.063,.333,1.6,9.6,5.6,34.1,1.3,0.3,12.1,28.2,,3.9,3.2,7.0,.146,,2.0,-0.3,1.7,2.2
4,Manu Ginobili\ginobma01,30,74,2299,24.3,.612,.395,.449,3.3,14.7,9.1,26.4,2.6,1.1,14.5,28.7,,6.6,4.5,11.1,.232,,6.1,1.9,8.1,5.9
5,Michael Finley\finlemi01,34,82,2204,11.4,.519,.469,.105,1.5,12.0,6.8,8.6,0.7,0.3,6.6,18.5,,1.3,2.9,4.2,.091,,-0.6,-0.4,-1.0,0.5
6,Fabricio Oberto\obertfa01,32,82,1644,13.8,.615,.003,.206,11.1,19.6,15.4,9.1,1.2,0.9,13.6,10.9,,3.2,2.9,6.1,.178,,-0.2,2.8,2.5,1.9
7,Ime Udoka\udokaim01,30,73,1316,11.5,.528,.440,.155,3.3,17.0,10.2,7.7,2.3,1.0,12.6,16.7,,0.2,2.6,2.8,.102,,-1.8,1.9,0.2,0.7
8,Jacque Vaughn\vaughja01,32,74,1139,9.2,.481,.035,.283,1.4,6.2,3.8,21.9,1.1,0.1,14.5,15.6,,0.3,1.4,1.6,.069,,-3.9,-0.9,-4.8,-0.8
9,Matt Bonner\bonnema01,27,68,853,12.4,.525,.471,.151,7.4,19.0,13.3,6.2,0.9,1.5,11.2,19.6,,0.5,1.5,2.0,.110,,-1.4,-0.2,-1.6,0.1
10,Robert Horry\horryro01,37,45,583,9.6,.426,.588,.235,7.2,14.8,11.0,11.9,1.9,2.5,14.3,12.6,,-0.1,1.1,1.1,.088,,-2.3,3.2,0.9,0.4
11,Brent Barry\barrybr01,36,31,554,16.7,.655,.700,.125,2.6,9.0,5.9,16.1,1.7,0.4,9.6,16.1,,1.5,0.8,2.3,.203,,3.7,-0.1,3.6,0.8
12,Francisco Elson\elsonfr01,31,41,534,8.5,.454,.000,.162,7.4,22.2,14.9,4.8,0.9,2.0,15.9,16.9,,-0.5,1.0,0.5,.043,,-6.6,1.3,-5.3,-0.4
13,Kurt Thomas\thomaku01,35,28,524,11.1,.465,.008,.192,8.2,22.7,15.5,4.2,2.2,2.0,11.7,14.0,,-0.1,1.2,1.1,.100,,-4.6,3.0,-1.6,0.1
14,Damon Stoudamire\stoudda01,34,31,413,4.6,.362,.385,.056,1.7,11.6,6.7,20.0,1.4,0.4,17.0,20.5,,-1.1,0.6,-0.5,-0.060,,-6.1,-0.1,-6.2,-0.4
15,Darius Washington\washida01,22,18,146,9.0,.493,.250,.271,3.3,12.8,8.1,17.1,1.9,0.0,20.7,22.2,,-0.2,0.2,0.0,.012,,-4.3,0.1,-4.2,-0.1
16,Jeremy Richardson\richaje01,23,5,29,11.0,.635,.714,.286,0.0,4.0,2.0,5.4,1.9,0.0,0.0,13.0,,0.1,0.0,0.1,.189,,1.3,-1.3,0.0,0.0
17,DerMarr Johnson\johnsde03,27,5,28,17.3,.571,.643,.143,0.0,4.2,2.1,7.2,1.9,0.0,0.0,25.5,,0.0,0.0,0.1,.143,,3.9,-4.3,-0.4,0.0
18,Ian Mahinmi\mahinia01,21,6,23,35.3,.658,.000,.750,0.0,25.3,12.8,9.0,0.0,13.2,11.1,37.4,,0.1,0.1,0.2,.372,,-0.9,3.3,2.3,0.0
19,Bobby Jones\jonesbo02,24,3,20,3.4,.250,.500,.000,0.0,11.6,5.9,7.2,5.4,0.0,20.0,12.0,,-0.1,0.0,0.0,-0.042,,-7.6,4.4,-3.2,0.0
20,Keith Langford\langfke01,24,2,10,-2.4,.250,.000,.000,0.0,23.3,11.8,0.0,0.0,0.0,0.0,19.2,,0.0,0.0,0.0,-0.142,,-14.9,-5.1,-19.9,0.0
21,Marcus Williams\willima04,21,1,2,0.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,37.9,0.0,23.9,,0.0,0.0,0.0,-0.364,,-24.7,16.9,-7.8,0.0
