Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,30,80,2726,26.1,.579,.008,.502,9.8,27.0,18.8,18.8,1.3,5.1,14.0,27.9,,6.3,6.8,13.0,.230,,2.0,5.1,7.1,6.3
2,Tony Parker\parketo01,24,77,2499,21.4,.572,.035,.319,1.7,10.0,6.0,31.7,1.8,0.2,13.3,27.4,,5.8,3.9,9.6,.185,,2.5,0.1,2.7,3.0
3,Bruce Bowen\bowenbr01,35,82,2464,7.1,.511,.497,.156,1.2,9.4,5.5,7.0,1.3,0.7,11.5,10.9,,0.4,3.6,4.1,.079,,-1.4,1.9,0.5,1.5
4,Manu Ginobili\ginobma01,29,75,2060,24.1,.609,.378,.436,3.6,15.1,9.6,22.6,2.8,1.0,13.4,27.1,,6.3,4.3,10.6,.246,,5.4,1.8,7.2,4.8
5,Michael Finley\finlemi01,33,82,1823,13.7,.524,.431,.148,2.3,12.0,7.4,9.7,0.9,0.6,6.1,19.6,,2.1,2.6,4.7,.125,,0.1,-0.6,-0.4,0.7
6,Brent Barry\barrybr01,35,75,1631,16.6,.666,.675,.275,1.3,10.2,5.9,13.3,1.8,0.5,11.3,15.6,,4.2,2.6,6.8,.201,,3.5,0.4,3.9,2.4
7,Fabricio Oberto\obertfa01,31,79,1365,11.9,.575,.000,.181,12.1,20.2,16.3,7.8,1.0,1.3,18.5,12.9,,1.6,2.5,4.1,.144,,-1.3,2.2,0.9,1.0
8,Francisco Elson\elsonfr01,30,70,1332,11.2,.552,.007,.284,7.7,22.2,15.2,6.4,1.2,3.3,21.3,14.4,,0.2,2.9,3.1,.111,,-3.7,3.4,-0.3,0.6
9,Robert Horry\horryro01,36,68,1124,11.9,.480,.594,.255,8.2,16.1,12.3,10.1,2.1,2.7,13.6,13.6,,0.6,2.4,2.9,.125,,-0.5,3.3,2.8,1.4
10,Beno Udrih\udrihbe01,24,73,948,10.3,.459,.334,.174,1.5,8.7,5.2,20.6,1.5,0.1,13.1,21.3,,-0.3,1.4,1.0,.053,,-2.6,-1.2,-3.8,-0.4
11,Jacque Vaughn\vaughja01,31,64,760,10.9,.491,.012,.389,1.3,9.2,5.4,25.9,1.7,0.2,17.0,14.7,,0.6,1.2,1.7,.107,,-3.2,-0.1,-3.2,-0.2
12,Matt Bonner\bonnema01,26,56,653,16.4,.542,.397,.160,12.3,16.4,14.4,5.7,1.4,1.2,9.0,20.3,,1.1,1.2,2.2,.163,,1.0,-0.6,0.4,0.4
13,James White\whiteja02,24,6,137,12.1,.525,.171,.366,2.8,14.4,8.8,5.8,1.2,0.5,9.5,18.2,,0.1,0.2,0.3,.108,,-2.8,-0.2,-3.1,0.0
14,Jackie Butler\butleja01,21,11,103,9.6,.520,.000,.286,7.3,18.0,12.9,8.1,1.0,0.0,20.2,22.8,,-0.1,0.2,0.1,.047,,-5.4,-0.7,-6.1,-0.1
15,Eric Williams\willier01,34,16,88,14.8,.566,.500,.206,1.4,17.2,9.6,11.6,1.2,0.0,11.9,22.7,,0.1,0.1,0.2,.120,,-0.3,-1.5,-1.8,0.0
16,Melvin Ely\elyme01,28,6,65,6.7,.376,.000,.600,5.8,19.7,13.0,9.2,3.3,2.3,16.5,22.1,,-0.2,0.2,0.0,-0.009,,-8.0,3.0,-5.0,0.0
