Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,25,82,3329,27.0,.576,.007,.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,,10.7,7.1,17.8,.257,,3.9,3.8,7.6,8.1
2,David Robinson\robinda01,36,78,2303,20.3,.562,.000,.588,9.9,22.0,16.2,7.0,2.0,4.3,10.9,19.2,,5.0,5.1,10.1,.211,,0.4,3.5,3.9,3.4
3,Tony Parker\parketo01,19,77,2267,11.7,.497,.296,.250,1.7,8.0,5.0,23.9,2.1,0.2,17.5,17.7,,0.8,2.9,3.8,.080,,-0.5,0.1,-0.4,0.9
4,Steve Smith\smithst01,32,77,2211,13.9,.588,.361,.265,2.4,7.4,5.0,11.5,1.3,0.5,12.4,18.3,,4.0,2.4,6.4,.139,,1.7,-0.5,1.3,1.8
5,Antonio Daniels\daniean01,26,82,2175,13.4,.534,.320,.343,1.3,7.8,4.7,17.2,1.2,0.4,9.0,16.6,,3.7,2.3,5.9,.131,,0.8,-0.7,0.2,1.2
6,Malik Rose\rosema01,27,82,1725,16.4,.517,.019,.406,11.9,20.6,16.4,6.3,2.2,1.7,15.8,23.9,,1.0,3.4,4.4,.123,,-2.0,0.8,-1.2,0.3
7,Bruce Bowen\bowenbr01,30,59,1699,8.2,.468,.372,.241,2.9,7.9,5.5,8.1,1.9,1.0,13.0,13.9,,-0.3,2.2,1.9,.054,,-1.5,1.5,-0.1,0.8
8,Terry Porter\portete01,38,72,1294,13.9,.558,.442,.259,1.1,13.1,7.3,25.2,1.9,0.9,19.2,15.9,,1.6,1.9,3.5,.131,,0.2,0.6,0.8,0.9
9,Charles Smith\smithch04,26,60,1141,13.2,.483,.306,.152,3.5,9.7,6.7,12.2,2.4,2.7,11.4,21.0,,0.1,1.9,2.0,.085,,-1.0,1.3,0.3,0.7
10,Danny Ferry\ferryda01,35,50,799,11.2,.594,.559,.203,2.2,10.4,6.5,9.4,1.1,0.8,10.2,12.5,,1.4,0.9,2.3,.140,,0.6,0.0,0.6,0.5
11,Cherokee Parks\parksch02,29,42,234,7.6,.364,.000,.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,,-0.4,0.4,0.0,-0.005,,-6.0,0.7,-5.3,-0.2
12,Stephen Jackson\jacksst02,23,23,227,7.9,.452,.396,.187,1.6,11.3,6.6,8.3,3.5,0.9,18.9,24.9,,-0.5,0.4,-0.1,-0.024,,-4.7,0.2,-4.5,-0.1
13,Mark Bryant\bryanma01,36,30,206,11.5,.478,.000,.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,.133,,-0.5,0.5,-0.1,0.1
14,Amal McCaskill\mccasam01,28,27,153,10.2,.430,.000,.531,12.4,14.5,13.5,4.3,2.1,4.6,18.8,22.6,,-0.3,0.3,0.0,.010,,-6.2,1.4,-4.8,-0.1
15,Jason Hart\hartja01,23,10,92,13.5,.601,.105,.316,5.2,10.9,8.1,20.9,4.1,0.8,27.0,15.0,,0.1,0.2,0.3,.142,,-0.8,2.7,1.9,0.1
