Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tony Parker\parketo01,28,78,2528,20.4,.569,.065,.283,1.4,9.3,5.5,35.2,1.9,0.1,14.3,25.5,,5.8,2.4,8.2,.156,,2.5,-0.8,1.7,2.4
2,Richard Jefferson\jefferi01,30,81,2459,12.4,.612,.478,.304,2.6,11.8,7.3,6.5,0.8,1.0,11.3,15.4,,3.7,2.1,5.9,.115,,1.1,0.0,1.2,2.0
3,Manu Ginobili\ginobma01,33,80,2426,21.7,.581,.433,.403,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26.0,,6.6,3.2,9.9,.195,,4.9,0.4,5.3,4.5
4,Tim Duncan\duncati01,34,76,2156,21.9,.537,.005,.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,,3.7,4.0,7.7,.171,,-0.1,3.9,3.8,3.2
5,George Hill\hillge01,24,76,2148,14.6,.588,.322,.427,1.3,9.2,5.4,13.6,1.6,0.7,11.6,18.2,,4.0,2.1,6.1,.136,,1.1,-0.1,1.1,1.7
6,DeJuan Blair\blairde01,21,81,1734,17.1,.524,.003,.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,,1.5,3.2,4.8,.132,,-1.1,2.2,1.1,1.3
7,Gary Neal\nealga01,26,80,1685,13.1,.578,.487,.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3,20.6,,2.1,1.4,3.5,.099,,0.9,-1.9,-1.1,0.4
8,Matt Bonner\bonnema01,30,66,1432,13.5,.617,.620,.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,,3.0,1.4,4.4,.147,,2.1,-0.1,2.0,1.5
9,Antonio McDyess\mcdyean01,36,73,1387,12.8,.516,.003,.224,10.5,22.3,16.5,9.0,1.3,2.0,16.0,14.9,,1.0,2.1,3.0,.105,,-2.2,2.2,0.0,0.7
10,Tiago Splitter\splitti01,26,60,738,16.0,.550,.005,.733,11.6,19.8,15.8,5.3,2.0,1.6,11.2,17.7,,1.1,1.1,2.3,.149,,-1.4,0.7,-0.7,0.2
11,Chris Quinn\quinnch01,27,41,292,7.5,.428,.407,.088,1.2,8.5,5.0,21.1,0.9,0.2,11.3,16.8,,-0.1,0.2,0.1,.024,,-3.0,-2.3,-5.3,-0.2
12,James Anderson\anderja01,21,26,286,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,.051,,-1.9,-1.5,-3.4,-0.1
13,Steve Novak\novakst01,27,23,197,17.7,.744,.712,.136,2.4,10.9,6.8,2.4,0.3,1.8,6.0,15.5,,0.6,0.2,0.8,.195,,3.5,-2.5,1.0,0.2
14,Ime Udoka\udokaim01,33,20,130,5.3,.285,.381,.381,4.6,12.2,8.5,13.2,3.2,0.5,16.9,10.4,,-0.2,0.2,0.0,.008,,-4.5,2.5,-2.0,0.0
15,Danny Green\greenda02,23,8,92,13.2,.586,.543,.000,3.9,14.8,9.5,3.6,1.1,0.8,12.5,20.0,,0.0,0.1,0.1,.076,,-0.7,-2.3,-3.0,0.0
16,Larry Owens\owensla01,28,7,31,11.9,.580,.500,.667,0.0,14.6,7.5,4.6,3.4,0.0,0.0,11.5,,0.0,0.0,0.1,.151,,-0.3,0.8,0.5,0.0
17,Garrett Temple\templga01,24,3,21,0.6,.170,.200,.400,5.7,5.4,5.5,12.7,2.5,3.4,14.5,15.1,,-0.1,0.0,-0.1,-0.135,,-8.6,2.1,-6.6,0.0
18,Alonzo Gee\geeal01,23,5,18,-2.1,.333,.000,.000,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,,-0.1,0.0,-0.1,-0.175,,-12.1,1.4,-10.6,0.0
19,Bobby Simmons\simmobo01,30,2,16,-5.5,.000,1.000,.000,0.0,0.0,0.0,15.7,0.0,0.0,0.0,8.6,,0.0,0.0,0.0,-0.138,,-8.6,-5.6,-14.3,0.0
20,Othyus Jeffers\jeffeot01,25,1,8,-0.5,.333,.000,.000,0.0,28.4,14.5,18.6,0.0,0.0,25.0,23.0,,0.0,0.0,0.0,-0.183,,-12.4,-0.6,-13.0,0.0
