Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,32,75,2524,24.4,.549,.002,.436,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,,5.0,5.0,10.1,.191,,1.1,3.5,4.6,4.2
2,Roger Mason\masonro01,28,82,2496,11.9,.554,.479,.144,0.8,11.1,6.0,11.1,0.9,0.4,10.3,18.9,,1.9,2.9,4.7,.091,,0.0,-0.4,-0.4,1.0
3,Tony Parker\parketo01,26,72,2456,23.4,.556,.051,.287,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,,5.6,3.0,8.6,.168,,3.9,-0.8,3.1,3.2
4,Michael Finley\finlemi01,35,81,2336,11.4,.547,.463,.090,1.3,12.3,6.9,7.7,0.9,0.5,7.8,16.1,,1.6,2.8,4.4,.091,,-0.6,0.1,-0.5,0.9
5,Matt Bonner\bonnema01,28,81,1928,15.0,.611,.500,.043,6.1,17.6,11.9,6.8,1.3,1.0,6.3,14.6,,3.8,3.0,6.8,.169,,1.6,0.9,2.6,2.2
6,Bruce Bowen\bowenbr01,37,80,1506,5.4,.539,.524,.139,1.3,10.1,5.7,3.7,1.3,0.6,11.2,7.2,,0.3,1.9,2.2,.070,,-3.0,1.6,-1.3,0.2
7,Kurt Thomas\thomaku01,36,79,1404,14.0,.530,.007,.148,11.5,22.7,17.2,7.2,1.3,3.1,11.5,12.6,,1.8,2.7,4.5,.152,,-2.2,3.2,1.1,1.1
8,George Hill\hillge01,22,77,1270,11.6,.502,.196,.392,2.9,11.9,7.4,16.6,1.9,1.2,14.5,19.5,,0.2,2.0,2.1,.080,,-2.8,1.0,-1.8,0.1
9,Manu Ginobili\ginobma01,31,44,1181,22.9,.594,.426,.387,2.5,17.3,10.0,23.1,2.9,1.0,13.3,27.2,,2.7,2.3,5.0,.203,,4.2,1.8,6.0,2.4
10,Ime Udoka\udokaim01,31,67,1035,9.5,.470,.436,.160,3.3,18.1,10.8,7.9,1.9,0.9,11.0,16.2,,-0.5,1.7,1.3,.058,,-3.3,1.2,-2.1,0.0
11,Fabricio Oberto\obertfa01,33,54,677,10.6,.595,.010,.337,11.6,13.4,12.5,12.9,0.6,1.2,24.1,11.3,,0.8,0.8,1.7,.119,,-1.7,1.6,-0.1,0.3
12,Drew Gooden\goodedr01,27,19,320,18.8,.550,.007,.393,10.6,20.2,15.5,1.7,0.7,0.9,8.6,28.2,,0.5,0.5,0.9,.139,,-3.3,-4.2,-7.5,-0.4
13,Jacque Vaughn\vaughja01,33,30,292,7.6,.392,.013,.240,1.7,7.3,4.5,27.6,1.1,0.0,15.3,16.2,,-0.2,0.3,0.1,.020,,-5.8,-1.7,-7.5,-0.4
14,Anthony Tolliver\tollian01,23,19,208,7.6,.375,.631,.154,7.0,16.4,11.7,12.1,1.3,0.4,9.2,17.8,,-0.3,0.3,0.0,.010,,-3.1,-0.1,-3.2,-0.1
15,Malik Hairston\hairsma01,21,15,155,12.0,.480,.020,.143,8.6,12.9,10.8,13.8,2.1,3.3,18.7,20.0,,-0.1,0.3,0.1,.045,,-4.3,2.7,-1.6,0.0
16,Desmon Farmer\farmede01,27,3,54,0.4,.437,.857,.143,0.0,13.1,6.6,5.4,0.0,0.0,21.2,16.9,,-0.1,0.1,-0.1,-0.071,,-6.2,-2.2,-8.4,-0.1
17,Austin Croshere\croshau01,33,3,23,4.3,.212,.444,.111,21.0,30.7,25.9,19.3,0.0,0.0,17.5,24.1,,-0.1,0.0,-0.1,-0.166,,-7.4,-0.1,-7.5,0.0
18,Pops Mensah-Bonsu\mensapo01,25,3,20,35.8,.744,.000,1.000,30.2,29.4,29.8,0.0,2.7,3.7,16.6,29.3,,0.1,0.1,0.2,.418,,2.7,-5.6,-2.9,0.0
19,Blake Ahearn\ahearbl01,24,3,19,12.9,.581,.667,.333,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,,0.0,0.0,0.1,.149,,0.6,-1.8,-1.1,0.0
20,Marcus Williams\willima04,22,2,3,53.0,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,,0.0,0.0,0.0,.517,,17.7,-8.5,9.1,0.0
