Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tony Parker\parketo01,29,60,1923,22.0,.539,.069,.319,1.3,8.7,5.1,40.3,1.5,0.2,13.1,27.7,,5.5,1.6,7.1,.177,,3.2,-1.5,1.7,1.8
2,Tim Duncan\duncati01,35,58,1634,22.5,.531,.005,.340,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,,3.0,2.9,5.9,.174,,-0.2,2.6,2.4,1.8
3,Kawhi Leonard\leonaka01,20,64,1534,16.6,.573,.270,.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,,3.1,2.4,5.5,.171,,2.0,2.3,4.3,2.4
4,Danny Green\greenda02,24,66,1522,15.5,.579,.491,.210,4.2,12.9,8.6,8.3,2.0,2.2,11.4,17.6,,2.5,2.0,4.5,.142,,2.0,1.2,3.2,2.0
5,DeJuan Blair\blairde01,22,64,1363,17.6,.549,.002,.236,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,,2.2,1.8,4.0,.142,,0.8,0.8,1.6,1.2
6,Matt Bonner\bonnema01,31,65,1326,13.2,.597,.714,.060,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,,2.7,1.2,4.0,.143,,2.3,-0.3,2.0,1.3
7,Gary Neal\nealga01,27,56,1206,14.2,.542,.407,.132,1.2,9.9,5.6,15.1,1.2,0.1,10.5,21.7,,1.6,0.9,2.5,.101,,1.3,-1.8,-0.5,0.5
8,Richard Jefferson\jefferi01,31,41,1168,10.9,.556,.596,.157,1.8,12.0,7.0,6.7,1.1,0.7,8.6,14.6,,1.4,1.0,2.4,.100,,1.2,0.0,1.2,0.9
9,Tiago Splitter\splitti01,27,59,1121,20.5,.649,.000,.528,9.7,21.4,15.7,9.2,1.0,3.0,17.1,20.7,,3.0,1.6,4.6,.197,,1.1,1.4,2.5,1.3
10,Manu Ginobili\ginobma01,34,34,792,24.1,.668,.442,.354,2.7,13.9,8.4,30.3,1.6,1.1,16.3,22.7,,3.4,0.9,4.2,.257,,6.5,-0.1,6.4,1.7
11,James Anderson\anderja01,22,51,603,8.8,.483,.391,.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,,0.1,0.4,0.5,.040,,-2.2,-1.4,-3.6,-0.2
12,Stephen Jackson\jacksst02,33,21,500,13.1,.529,.405,.353,1.4,16.9,9.3,11.8,2.9,1.0,17.3,19.5,,0.1,0.8,0.9,.086,,-0.8,1.8,0.9,0.4
13,Boris Diaw\diawbo01,29,20,406,12.1,.650,.191,.118,6.6,17.2,12.0,16.1,1.8,1.1,28.1,11.2,,0.5,0.5,1.1,.125,,0.3,2.5,2.8,0.5
14,Cory Joseph\josepco01,20,29,266,6.9,.374,.214,.243,2.2,8.5,5.4,17.4,1.4,0.8,13.4,15.4,,-0.2,0.2,0.0,.001,,-4.2,-0.6,-4.8,-0.2
15,Patrick Mills\millspa02,23,16,261,21.5,.604,.431,.115,1.8,10.3,6.2,25.9,2.0,0.3,16.0,28.4,,0.6,0.3,0.9,.161,,4.3,-1.9,2.5,0.3
16,T.J. Ford\fordtj01,28,14,191,11.0,.519,.186,.326,1.8,8.8,5.4,32.7,2.4,0.8,31.9,17.2,,0.0,0.2,0.2,.053,,-3.1,-0.6,-3.6,-0.1
17,Eric Dawson\dawsoer01,27,4,39,14.6,.582,.000,.167,15.0,14.4,14.7,0.0,1.3,3.7,18.9,18.6,,0.0,0.1,0.1,.106,,-3.3,-2.6,-5.9,0.0
18,Derrick Byars\byarsde01,27,2,37,14.9,.392,.545,.364,19.0,15.2,17.1,3.7,2.8,0.0,0.0,15.7,,0.1,0.1,0.1,.147,,1.6,-1.1,0.6,0.0
19,Justin Dentmon\dentmju01,26,2,19,1.6,.333,.667,.000,0.0,5.9,3.0,7.4,2.7,0.0,14.3,16.8,,-0.1,0.0,0.0,-0.090,,-5.2,-1.1,-6.3,0.0
20,Malcolm Thomas\thomama01,23,3,15,7.1,.129,.000,.667,7.8,15.0,11.5,8.1,3.4,4.8,0.0,11.8,,0.0,0.0,0.0,-0.028,,-7.1,5.0,-2.1,0.0
21,Ike Diogu\dioguik01,28,2,14,-2.9,.347,.000,1.000,0.0,8.0,4.1,0.0,0.0,0.0,25.8,12.6,,0.0,0.0,0.0,-0.116,,-10.0,-2.6,-12.5,0.0
