Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tim Duncan\duncati01,26,81,3181,26.9,.564,.016,.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,,9.5,6.9,16.5,.248,,3.3,4.2,7.4,7.6
2,Tony Parker\parketo01,20,82,2774,16.5,.542,.233,.278,1.4,7.3,4.5,27.9,1.4,0.1,14.5,22.9,,5.1,2.6,7.7,.134,,1.9,-1.7,0.3,1.6
3,Bruce Bowen\bowenbr01,31,82,2566,9.1,.563,.478,.186,2.8,7.8,5.4,6.8,1.4,1.1,12.2,10.7,,2.4,2.7,5.1,.096,,0.3,1.2,1.5,2.3
4,Stephen Jackson\jacksst02,24,80,2254,14.5,.526,.363,.224,3.6,10.8,7.4,14.1,3.0,0.9,16.4,22.1,,1.2,3.6,4.8,.102,,0.6,1.1,1.7,2.1
5,Malik Rose\rosema01,28,79,1933,16.1,.538,.008,.486,9.3,20.5,15.2,11.0,1.6,1.4,18.2,22.4,,1.9,3.3,5.2,.130,,-1.5,1.2,-0.2,0.9
6,David Robinson\robinda01,37,64,1676,17.8,.531,.000,.510,11.8,22.8,17.6,5.9,1.7,4.6,13.9,16.5,,2.5,3.6,6.0,.172,,-1.2,3.3,2.1,1.7
7,Manu Ginobili\ginobma01,25,69,1431,14.7,.556,.373,.431,4.0,8.8,6.5,15.8,3.6,0.8,17.5,18.5,,1.8,2.4,4.2,.141,,1.1,1.5,2.6,1.7
8,Steve Smith\smithst01,33,53,1032,12.0,.528,.405,.392,2.5,8.4,5.6,10.9,1.4,0.6,11.2,17.3,,1.4,1.1,2.5,.117,,-0.1,-0.9,-1.0,0.3
9,Steve Kerr\kerrst01,37,75,952,11.4,.552,.484,.133,1.5,5.6,3.7,11.9,1.5,0.2,11.4,14.9,,1.3,0.9,2.2,.109,,0.0,-1.6,-1.7,0.1
10,Kevin Willis\willike02,40,71,840,12.5,.506,.008,.323,12.0,18.8,15.6,4.9,1.3,1.7,17.0,19.5,,0.2,1.3,1.6,.091,,-3.3,-0.4,-3.7,-0.4
11,Danny Ferry\ferryda01,36,64,601,5.1,.459,.484,.105,4.0,10.1,7.2,5.3,0.6,1.0,17.2,12.1,,-0.2,0.6,0.3,.028,,-3.6,-0.6,-4.2,-0.3
12,Speedy Claxton\claxtsp01,24,30,471,15.9,.509,.076,.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,,0.6,0.6,1.2,.125,,-0.1,0.2,0.1,0.2
13,Anthony Goldwire\goldwan01,31,10,51,2.5,.318,.444,.111,0.0,6.5,3.4,9.3,3.1,0.0,9.6,19.0,,-0.1,0.1,-0.1,-0.069,,-6.0,-1.3,-7.3,-0.1
14,Mengke Bateer\bateeme01,27,12,46,-8.4,.252,.176,.118,5.3,19.2,12.6,13.5,0.0,0.0,25.1,24.1,,-0.3,0.1,-0.2,-0.248,,-12.5,-2.0,-14.4,-0.1
15,Devin Brown\brownde02,24,7,22,13.8,.551,.000,.200,22.1,15.1,18.4,18.0,0.0,0.0,31.5,33.5,,0.0,0.0,0.0,-0.023,,-3.1,-2.4,-5.5,0.0
