,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2013-14,23,CLE,NBA,SG,72,4,17.7,1.7,4.1,.412,0.8,2.2,.368,0.9,2.0,.461,.508,0.5,0.7,.792,0.4,1.3,1.7,2.6,0.5,0.1,0.8,1.7,4.7
2,2014-15,24,CLE,NBA,SG,67,13,20.6,1.7,4.6,.362,1.0,2.5,.407,0.6,2.1,.307,.472,0.4,0.6,.763,0.6,1.3,1.9,3.0,0.4,0.0,0.9,2.3,4.8
3,2015-16,25,CLE,NBA,PG,76,14,24.6,2.7,6.7,.405,1.3,3.1,.410,1.4,3.6,.401,.501,0.8,0.9,.864,0.4,1.7,2.1,4.4,0.6,0.1,1.5,2.3,7.5
4,2016-17,26,MIL,NBA,PG,76,54,26.1,2.7,7.0,.390,1.0,2.8,.367,1.7,4.2,.404,.463,1.1,1.3,.854,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6
5,Career,,,NBA,,291,85,22.4,2.2,5.7,.393,1.0,2.7,.389,1.2,3.0,.397,.485,0.7,0.9,.831,0.4,1.5,1.9,3.7,0.5,0.1,1.3,2.1,6.2
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3 seasons,,CLE,NBA,,215,31,21.0,2.0,5.2,.395,1.0,2.6,.398,1.0,2.6,.392,.495,0.6,0.7,.816,0.5,1.5,1.9,3.4,0.5,0.1,1.1,2.1,5.7
8,1 season,,MIL,NBA,,76,54,26.1,2.7,7.0,.390,1.0,2.8,.367,1.7,4.2,.404,.463,1.1,1.3,.854,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6
