,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,19,MIN,NBA,SF,82.0,82.0,36.2,6.1,13.9,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1.0,0.6,2.2,2.3,16.9
1,20,MIN,NBA,SF,81.0,81.0,35.1,7.3,16.0,0.459,0.7,2.3,0.3,6.6,13.6,0.486,0.481,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7
2,21,MIN,NBA,SF,82.0,82.0,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.3,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6
3,,,NBA,,245.0,245.0,36.2,7.3,16.3,0.45,0.8,2.5,0.329,6.5,13.9,0.471,0.475,4.9,6.4,0.76,1.4,2.7,4.1,2.1,1.0,0.5,2.2,2.2,20.4
