Team,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minnesota Timberwolves,82,31,51,0.378,19805,3235,6922,0.467,601,1724,0.349,2634,5198,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657
New Orleans Pelicans,82,34,48,0.415,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,706,2879,3585,1869,638,453,1054,1490,8556
New York Knicks,82,31,51,0.378,19855,3244,7255,0.447,704,2022,0.348,2540,5233,0.485,1364,1731,0.788,982,2722,3704,1786,581,456,1139,1668,8556
Oklahoma City Thunder*,82,47,35,0.573,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741
Orlando Magic,82,29,53,0.354,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,395,1091,1584,8288
Philadelphia 76ers,82,28,54,0.341,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400
Phoenix Suns,82,24,58,0.293,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,977,2712,3689,1604,673,399,1266,2030,8831
Portland Trail Blazers*,82,41,41,0.5,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851
Sacramento Kings,82,32,50,0.39,19880,3105,6735,0.461,737,1961,0.376,2368,4774,0.496,1483,1913,0.775,715,2661,3376,1844,626,325,1201,1667,8430
San Antonio Spurs*,82,61,21,0.744,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,822,2777,3599,1954,654,486,1101,1498,8637
Toronto Raptors*,82,51,31,0.622,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,401,1041,1708,8762
Utah Jazz*,82,51,31,0.622,19755,3033,6514,0.466,791,2128,0.372,2242,4386,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1119,1545,8258
Washington Wizards*,82,49,33,0.598,19855,3388,7136,0.475,756,2030,0.372,2632,5106,0.515,1421,1812,0.784,842,2670,3512,1956,693,340,1161,1745,8953
Atlanta Hawks*,82,48,34,0.585,19830,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.783,679,2772,3451,2100,747,486,1226,1570,8433
Boston Celtics*,82,48,34,0.585,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669
Brooklyn Nets,82,21,61,0.256,19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089
Charlotte Hornets*,82,48,34,0.585,19855,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479
Chicago Bulls,82,42,40,0.512,19905,3165,7170,0.441,651,1753,0.371,2514,5417,0.464,1354,1720,0.787,907,2889,3796,1870,495,470,1141,1545,8335
Cleveland Cavaliers*,82,57,25,0.695,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555
Dallas Mavericks*,82,42,40,0.512,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388
Denver Nuggets,82,33,49,0.402,19830,3093,7003,0.442,656,1943,0.338,2437,5060,0.482,1513,1974,0.766,941,2718,3659,1858,609,395,1202,1723,8355
Detroit Pistons*,82,44,38,0.537,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.668,1021,2777,3798,1594,573,304,1110,1557,8361
