,Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,1,Carmelo Anthony,29,77,77,38.7,9.6,21.3,.452,2.2,5.4,.402,7.5,15.9,.469,.503,6.0,7.0,.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4
2,2,J.R. Smith,28,74,37,32.7,5.4,12.9,.415,2.6,6.5,.394,2.8,6.4,.436,.514,1.2,1.9,.652,0.5,3.5,4.0,3.0,0.9,0.3,1.5,2.6,14.5
3,3,Raymond Felton,29,65,65,31.0,3.7,9.4,.395,1.0,3.0,.318,2.7,6.4,.431,.446,1.4,1.9,.721,0.8,2.2,3.0,5.6,1.2,0.4,2.0,2.4,9.7
4,4,Tyson Chandler,31,55,55,30.2,3.5,5.9,.593,0.0,0.0,.000,3.5,5.8,.595,.593,1.8,2.8,.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7
5,5,Andrea Bargnani,28,42,39,29.9,5.3,12.0,.442,0.7,2.6,.278,4.6,9.4,.487,.472,2.0,2.4,.824,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3
6,6,Iman Shumpert,23,74,58,26.5,2.5,6.5,.378,1.0,3.1,.333,1.4,3.5,.418,.457,0.7,1.0,.746,1.1,3.1,4.2,1.7,1.2,0.2,1.1,2.8,6.7
7,7,Tim Hardaway,21,81,1,23.1,3.6,8.5,.428,1.6,4.4,.363,2.0,4.1,.498,.523,1.3,1.6,.828,0.2,1.3,1.5,0.8,0.5,0.1,0.6,1.8,10.2
8,8,Amar'e Stoudemire,31,65,21,22.6,4.8,8.6,.557,0.0,0.0,,4.8,8.6,.557,.557,2.3,3.1,.739,1.7,3.2,4.9,0.5,0.4,0.6,1.4,2.4,11.9
9,9,Kenyon Martin,36,32,15,19.8,2.0,3.8,.512,0.0,0.0,.000,2.0,3.8,.516,.512,0.3,0.6,.579,1.1,3.1,4.2,1.6,0.8,0.8,0.8,2.7,4.3
10,10,Pablo Prigioni,36,66,27,19.4,1.3,2.9,.461,1.0,2.1,.464,0.3,0.8,.451,.631,0.2,0.2,.917,0.5,1.4,2.0,3.5,1.0,0.0,0.9,2.0,3.8
11,11,Beno Udrih,31,31,12,19.0,2.2,5.2,.425,0.5,1.3,.425,1.6,3.9,.425,.478,0.6,0.8,.833,0.3,1.5,1.8,3.5,0.7,0.1,1.4,1.5,5.6
12,12,Metta World Peace,34,29,1,13.4,1.9,4.9,.397,0.6,1.9,.315,1.3,3.0,.448,.457,0.3,0.6,.625,0.6,1.4,2.0,0.6,0.8,0.3,0.7,1.5,4.8
13,13,Jeremy Tyler,22,41,0,9.7,1.5,2.8,.517,0.0,0.0,,1.5,2.8,.517,.517,0.6,1.2,.542,0.9,1.7,2.7,0.2,0.1,0.5,0.6,1.7,3.6
14,14,Earl Clark,26,9,0,7.8,0.8,2.3,.333,0.1,0.7,.167,0.7,1.7,.400,.357,0.9,1.1,.800,0.2,1.6,1.8,0.2,0.1,0.7,0.1,0.7,2.6
15,15,Shannon Brown,28,19,0,7.8,0.8,2.0,.421,0.0,0.0,,0.8,2.0,.421,.421,0.4,0.6,.667,0.3,0.5,0.8,0.2,0.6,0.0,0.5,0.6,2.1
16,16,Toure' Murry,24,51,0,7.3,1.1,2.5,.434,0.1,0.2,.417,1.0,2.3,.436,.453,0.5,0.8,.590,0.3,0.6,0.9,1.0,0.4,0.0,0.7,0.9,2.7
17,17,Cole Aldrich,25,46,2,7.2,0.7,1.3,.541,0.0,0.0,,0.7,1.3,.541,.541,0.6,0.7,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0
18,18,Chris Smith,26,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
