Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
72,72,2015-03-27,,DAL,W,94,76,37,84,.440,9,26,.346,11,14,.786,13,50,28,8,4,14,19,,31,82,.378,4,18,.222,10,15,.667,15,47,15,9,4,18,21
73,73,2015-03-29,,MEM,W,103,89,42,83,.506,4,17,.235,15,18,.833,10,48,25,9,6,8,15,,36,82,.439,6,14,.429,11,12,.917,3,34,22,5,1,10,17
74,74,2015-03-31,@,MIA,W,95,81,37,74,.500,8,18,.444,13,17,.765,8,38,21,11,6,19,19,,32,79,.405,5,15,.333,12,12,1.000,10,33,11,9,4,18,21
75,75,2015-04-01,@,ORL,W,103,91,35,86,.407,13,29,.448,20,23,.870,11,49,20,8,3,10,9,,39,93,.419,5,17,.294,8,9,.889,14,50,24,7,7,12,15
76,76,2015-04-03,,DEN,W,123,93,47,85,.553,14,34,.412,15,17,.882,14,45,33,11,8,18,15,,40,87,.460,6,17,.353,7,11,.636,11,34,17,8,3,18,18
77,77,2015-04-05,,GSW,W,107,92,44,83,.530,7,21,.333,12,15,.800,6,47,27,8,4,12,13,,39,91,.429,9,28,.321,5,10,.500,10,39,25,4,2,10,13
78,78,2015-04-07,@,OKC,W,113,88,47,89,.528,10,24,.417,9,13,.692,12,46,27,7,7,15,20,,34,84,.405,5,19,.263,15,28,.536,11,39,14,13,3,15,14
79,79,2015-04-08,,HOU,W,110,98,48,95,.505,7,21,.333,7,9,.778,13,47,21,11,7,9,13,,39,84,.464,10,25,.400,10,16,.625,8,39,25,7,3,13,12
80,80,2015-04-10,@,HOU,W,104,103,41,85,.482,4,17,.235,18,24,.750,13,40,23,12,3,15,35,,31,66,.470,9,21,.429,32,53,.604,9,39,19,9,5,20,26
81,81,2015-04-12,,PHO,W,107,91,35,69,.507,8,19,.421,29,34,.853,6,43,22,7,6,15,22,,35,85,.412,4,16,.250,17,23,.739,13,41,17,6,3,10,23
82,82,2015-04-15,@,NOP,L,103,108,45,79,.570,3,10,.300,10,13,.769,4,36,33,2,3,15,20,,43,83,.518,5,10,.500,17,25,.680,7,35,23,11,7,9,18
