G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
73,4/2/13,MIA,W,102.0000,90.0000,37.0000,71.0000,0.5210,14.0000,27.0000,0.5190,14.0000,20.0000,0.7000,6.0000,24.0000,17.0000,8.0000,3.0000,13.0000,25.0000,30.0000,60.0000,0.5000,8.0000,20.0000,0.4000,22.0000,27.0000,0.8150,7.0000,32.0000,18.0000,7.0000,3.0000,19.0000,19.0000
74,4/3/13,ATL,W,95.0000,82.0000,40.0000,77.0000,0.5190,7.0000,22.0000,0.3180,8.0000,12.0000,0.6670,8.0000,38.0000,16.0000,7.0000,0.0000,11.0000,20.0000,32.0000,66.0000,0.4850,9.0000,26.0000,0.3460,9.0000,19.0000,0.4740,7.0000,35.0000,22.0000,7.0000,2.0000,15.0000,10.0000
75,4/5/13,MIL,W,101.0000,83.0000,41.0000,89.0000,0.4610,12.0000,36.0000,0.3330,7.0000,8.0000,0.8750,12.0000,50.0000,17.0000,6.0000,2.0000,9.0000,18.0000,29.0000,76.0000,0.3820,12.0000,30.0000,0.4000,13.0000,18.0000,0.7220,8.0000,40.0000,16.0000,5.0000,2.0000,13.0000,16.0000
76,4/7/13,OKC,W,125.0000,120.0000,46.0000,93.0000,0.4950,15.0000,34.0000,0.4410,18.0000,24.0000,0.7500,19.0000,41.0000,22.0000,5.0000,4.0000,6.0000,19.0000,45.0000,78.0000,0.5770,9.0000,17.0000,0.5290,21.0000,25.0000,0.8400,10.0000,37.0000,23.0000,5.0000,11.0000,12.0000,22.0000
77,4/9/13,WAS,W,120.0000,99.0000,45.0000,80.0000,0.5630,20.0000,36.0000,0.5560,10.0000,14.0000,0.7140,5.0000,39.0000,26.0000,7.0000,3.0000,12.0000,24.0000,35.0000,77.0000,0.4550,8.0000,20.0000,0.4000,21.0000,30.0000,0.7000,11.0000,38.0000,18.0000,6.0000,2.0000,13.0000,14.0000
78,4/11/13,CHI,L,111.0000,118.0000,42.0000,104.0000,0.4040,10.0000,30.0000,0.3330,17.0000,22.0000,0.7730,12.0000,52.0000,18.0000,2.0000,5.0000,7.0000,28.0000,39.0000,87.0000,0.4480,10.0000,27.0000,0.3700,30.0000,37.0000,0.8110,10.0000,53.0000,23.0000,7.0000,9.0000,8.0000,21.0000
79,4/12/13,CLE,W,101.0000,91.0000,40.0000,79.0000,0.5060,10.0000,28.0000,0.3570,11.0000,17.0000,0.6470,11.0000,44.0000,15.0000,11.0000,5.0000,14.0000,21.0000,34.0000,79.0000,0.4300,6.0000,22.0000,0.2730,17.0000,24.0000,0.7080,16.0000,46.0000,17.0000,7.0000,2.0000,14.0000,16.0000
80,4/14/13,IND,W,90.0000,80.0000,35.0000,82.0000,0.4270,11.0000,31.0000,0.3550,9.0000,11.0000,0.8180,8.0000,32.0000,15.0000,11.0000,2.0000,11.0000,24.0000,28.0000,65.0000,0.4310,8.0000,28.0000,0.2860,16.0000,26.0000,0.6150,13.0000,45.0000,20.0000,6.0000,3.0000,26.0000,19.0000
81,4/15/13,CHA,L,95.0000,106.0000,34.0000,79.0000,0.4300,14.0000,37.0000,0.3780,13.0000,13.0000,1.0000,3.0000,25.0000,27.0000,5.0000,1.0000,8.0000,15.0000,43.0000,74.0000,0.5810,7.0000,18.0000,0.3890,13.0000,14.0000,0.9290,4.0000,37.0000,35.0000,4.0000,6.0000,11.0000,15.0000
82,4/17/13,ATL,W,98.0000,92.0000,39.0000,91.0000,0.4290,9.0000,24.0000,0.3750,11.0000,16.0000,0.6880,16.0000,50.0000,21.0000,8.0000,3.0000,12.0000,16.0000,37.0000,90.0000,0.4110,2.0000,21.0000,0.0950,16.0000,17.0000,0.9410,15.0000,53.0000,14.0000,7.0000,2.0000,12.0000,15.0000
