Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
38,38,2014-01-15,,MEM,L,77,82,31,82,.378,6,20,.300,9,12,.750,15,51,22,5,5,15,19,,33,82,.402,5,20,.250,11,18,.611,11,43,20,7,10,9,17
39,39,2014-01-18,@,HOU,L,104,114,40,80,.500,11,23,.478,13,21,.619,11,40,23,6,9,19,24,,41,85,.482,7,27,.259,25,37,.676,13,46,20,11,4,11,19
40,40,2014-01-19,@,SAS,L,82,110,33,88,.375,6,21,.286,10,17,.588,10,37,19,10,6,8,18,,43,76,.566,11,18,.611,13,21,.619,7,55,28,6,8,15,16
41,41,2014-01-22,,DET,W,104,101,41,84,.488,8,27,.296,14,22,.636,12,45,29,11,7,18,24,,36,84,.429,4,15,.267,25,34,.735,9,40,21,11,4,14,15
42,42,2014-01-24,@,CLE,L,78,93,30,74,.405,7,24,.292,11,14,.786,8,34,20,6,9,15,20,,37,88,.420,4,14,.286,15,23,.652,21,52,28,9,5,12,18
43,43,2014-01-25,,ATL,L,87,112,38,82,.463,5,21,.238,6,13,.462,13,39,23,6,5,19,26,,40,76,.526,13,26,.500,19,25,.760,4,35,26,10,2,13,19
44,44,2014-01-27,,LAC,L,86,114,34,89,.382,4,22,.182,14,22,.636,17,41,24,6,3,11,15,,43,79,.544,14,28,.500,14,19,.737,11,47,29,9,3,17,25
45,45,2014-01-29,,PHO,L,117,126,38,89,.427,7,19,.368,34,36,.944,11,36,22,3,3,9,25,,42,78,.538,12,23,.522,30,32,.938,8,36,28,8,4,15,29
46,46,2014-01-31,@,ORL,L,102,113,39,87,.448,10,21,.476,14,24,.583,12,43,23,8,7,15,20,,43,83,.518,7,16,.438,20,25,.800,6,44,27,10,4,15,22
47,47,2014-02-01,@,MEM,L,90,99,30,76,.395,9,23,.391,21,25,.840,11,38,15,8,3,13,21,,38,79,.481,6,10,.600,17,22,.773,13,48,22,4,6,12,20
48,48,2014-02-03,,NYK,W,101,98,36,81,.444,11,18,.611,18,21,.857,12,44,20,3,1,11,24,,34,78,.436,15,34,.441,15,24,.625,8,40,17,4,2,9,20
49,49,2014-02-05,@,DEN,L,100,110,36,95,.379,7,16,.438,21,31,.677,19,49,22,9,5,15,21,,39,84,.464,10,23,.435,22,26,.846,15,48,22,5,12,19,25
50,50,2014-02-08,,HOU,L,95,101,40,90,.444,6,15,.400,9,11,.818,14,47,26,6,6,18,18,,42,85,.494,8,24,.333,9,13,.692,6,38,23,11,5,13,15
51,51,2014-02-10,,BOS,L,86,102,31,72,.431,6,16,.375,18,25,.720,8,36,17,5,4,19,19,,42,88,.477,7,20,.350,11,14,.786,14,43,25,8,6,15,22
52,52,2014-02-12,,NOP,L,98,102,39,80,.488,6,16,.375,14,19,.737,8,34,28,3,3,11,16,,41,79,.519,6,13,.462,14,17,.824,10,38,23,9,5,10,19
53,53,2014-02-18,,ORL,W,104,100,35,82,.427,12,26,.462,22,30,.733,12,43,25,8,4,10,15,,40,80,.500,11,25,.440,9,16,.563,7,37,26,8,8,14,24
54,54,2014-02-20,,DEN,L,90,101,35,82,.427,4,21,.190,16,20,.800,12,36,15,4,6,12,20,,39,76,.513,8,18,.444,15,26,.577,12,41,22,6,6,15,20
55,55,2014-02-22,,IND,L,100,110,35,83,.422,9,27,.333,21,32,.656,15,52,20,4,3,12,32,,36,80,.450,9,18,.500,29,40,.725,10,40,19,6,6,9,23
56,56,2014-02-24,@,PHI,W,130,110,48,84,.571,12,20,.600,22,29,.759,20,47,32,7,6,23,21,,43,88,.489,8,24,.333,16,23,.696,11,28,28,16,5,17,22
57,57,2014-02-27,@,IND,L,96,101,38,87,.437,12,24,.500,8,11,.727,10,35,19,7,4,12,22,,38,74,.514,6,15,.400,19,22,.864,12,47,22,7,3,19,15
58,58,2014-03-01,,BRK,L,98,107,34,74,.459,5,12,.417,25,31,.806,12,43,17,6,4,18,19,,37,83,.446,10,25,.400,23,31,.742,15,41,23,14,2,11,19
59,59,2014-03-03,,UTA,W,114,88,42,74,.568,8,13,.615,22,26,.846,13,45,28,7,4,13,24,,31,79,.392,6,21,.286,20,26,.769,18,39,18,5,5,13,21
60,60,2014-03-05,,SAC,L,102,116,36,82,.439,6,17,.353,24,29,.828,11,37,25,3,2,8,24,,43,83,.518,4,14,.286,26,32,.813,12,46,21,7,3,9,23
61,61,2014-03-07,@,NOP,L,104,112,40,89,.449,5,20,.250,19,25,.760,16,45,24,3,6,9,22,,42,84,.500,8,20,.400,20,23,.870,11,42,31,4,9,9,26
62,62,2014-03-08,,WAS,L,107,114,39,87,.448,4,16,.250,25,28,.893,17,42,14,9,4,14,20,,43,80,.538,15,28,.536,13,23,.565,11,35,25,6,7,16,21
