,,,,Team,,Opponent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
58,,,,,,,53,53,2015-02-11,@,ORL,L,83,89,25,73,.342,5,15,.333,28,36,.778,8,39,19,7,4,12,21,,31,67,.463,4,11,.364,23,28,.821,7,44,13,6,9,16,26
59,,,,,,,54,54,2015-02-20,,MIA,L,87,111,35,82,.427,6,18,.333,11,16,.688,7,32,28,10,6,20,26,,38,79,.481,9,20,.450,26,35,.743,11,50,28,12,4,21,18
60,,,,,,,55,55,2015-02-22,,CLE,L,83,101,37,99,.374,3,19,.158,6,7,.857,19,50,16,8,2,11,16,,40,79,.506,12,33,.364,9,15,.600,7,47,22,5,3,15,14
61,,,,,,,56,56,2015-02-25,@,BOS,L,94,115,34,82,.415,2,21,.095,24,31,.774,9,41,19,6,4,13,20,,42,83,.506,14,31,.452,17,20,.850,8,46,29,6,1,13,26
62,,,,,,,57,57,2015-02-27,@,DET,W,121,115,45,109,.413,6,18,.333,25,26,.962,18,58,28,6,9,10,35,,39,97,.402,8,31,.258,29,40,.725,16,54,22,3,10,15,26
63,,,,,,,58,58,2015-02-28,,TOR,W,103,98,33,75,.440,7,19,.368,30,38,.789,8,44,21,8,5,11,21,,34,81,.420,8,29,.276,22,28,.786,10,40,16,7,4,12,27
64,,,,,,,59,59,2015-03-03,,SAC,L,86,124,30,82,.366,4,22,.182,22,30,.733,9,38,16,8,9,15,27,,41,83,.494,10,18,.556,32,37,.865,8,46,26,9,2,14,20
65,,,,,,,60,60,2015-03-04,@,IND,L,82,105,30,76,.395,6,16,.375,16,23,.696,11,45,16,6,4,19,20,,38,80,.475,10,22,.455,19,24,.792,8,40,21,8,8,11,21
66,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
68,,,,,,,61,61,2015-03-07,,IND,L,86,92,30,78,.385,3,15,.200,23,30,.767,13,41,13,4,4,12,27,,30,79,.380,7,18,.389,25,30,.833,12,45,16,5,3,11,25
69,,,,,,,62,62,2015-03-09,@,DEN,L,78,106,29,75,.387,5,13,.385,15,25,.600,8,45,21,3,10,14,22,,38,87,.437,8,24,.333,22,29,.759,11,48,21,6,4,6,20
70,,,,,,,63,63,2015-03-10,@,UTA,L,82,87,31,79,.392,5,13,.385,15,17,.882,8,38,17,5,5,12,22,,30,70,.429,6,18,.333,21,29,.724,6,40,16,8,5,11,21
71,,,,,,,64,64,2015-03-12,@,LAL,W,101,94,36,77,.468,9,18,.500,20,26,.769,4,33,27,5,9,8,19,,38,90,.422,5,18,.278,13,21,.619,15,51,18,6,4,13,26
72,,,,,,,65,65,2015-03-14,@,GSW,L,94,125,38,96,.396,9,25,.360,9,16,.563,20,51,25,6,10,15,16,,45,90,.500,19,34,.559,16,17,.941,8,42,34,13,6,9,16
73,,,,,,,66,66,2015-03-15,@,PHO,L,89,102,32,73,.438,5,14,.357,20,30,.667,6,35,22,10,2,13,22,,41,83,.494,6,18,.333,14,23,.609,13,51,24,9,1,12,22
74,,,,,,,67,67,2015-03-17,,SAS,W,104,100,41,91,.451,3,14,.214,19,27,.704,15,50,22,7,10,11,20,,36,94,.383,3,14,.214,25,30,.833,15,49,17,7,5,11,20
75,,,,,,,68,68,2015-03-19,,MIN,L,92,95,40,97,.412,4,20,.200,8,10,.800,12,49,22,9,5,15,18,,34,83,.410,2,12,.167,25,30,.833,11,43,12,10,8,16,12
76,,,,,,,69,69,2015-03-20,@,PHI,L,81,97,25,69,.362,8,16,.500,23,26,.885,7,37,16,7,8,18,16,,37,88,.420,11,30,.367,12,15,.800,15,49,23,11,7,11,20
77,,,,,,,70,70,2015-03-22,@,TOR,L,89,106,35,84,.417,8,19,.421,11,16,.688,12,38,24,9,4,11,23,,39,75,.520,4,11,.364,24,29,.828,8,44,22,4,1,16,14
78,,,,,,,71,71,2015-03-23,,MEM,L,82,103,32,76,.421,4,18,.222,14,17,.824,8,37,22,4,6,17,18,,41,79,.519,7,12,.583,14,19,.737,9,39,22,4,2,10,19
79,,,,,,,72,72,2015-03-25,,LAC,L,80,111,29,82,.354,5,23,.217,17,19,.895,7,34,14,8,3,20,15,,44,78,.564,11,28,.393,12,18,.667,6,39,31,12,7,15,17
80,,,,,,,73,73,2015-03-27,,BOS,L,92,96,38,87,.437,7,24,.292,9,14,.643,9,36,23,9,2,12,31,,29,69,.420,4,20,.200,34,43,.791,9,44,18,6,1,16,17
81,,,,,,,74,74,2015-03-28,@,CHI,L,80,111,30,79,.380,4,17,.235,16,19,.842,9,35,22,7,7,13,18,,43,84,.512,6,17,.353,19,22,.864,12,51,28,8,5,12,16
82,,,,,,,75,75,2015-04-01,,BRK,L,98,100,37,81,.457,11,23,.478,13,15,.867,10,40,20,6,4,13,15,,41,81,.506,9,16,.563,9,12,.750,7,37,24,8,7,10,17
83,,,,,,,76,76,2015-04-03,@,WAS,L,87,101,31,84,.369,7,21,.333,18,20,.900,9,42,17,6,5,11,15,,43,93,.462,7,16,.438,8,12,.667,12,48,32,8,8,11,17
84,,,,,,,77,77,2015-04-05,,PHI,W,101,91,37,72,.514,3,13,.231,24,29,.828,15,49,24,6,14,18,18,,38,99,.384,10,32,.313,5,8,.625,19,36,22,8,5,10,23
85,,,,,,,78,78,2015-04-08,,IND,L,86,102,29,84,.345,7,17,.412,21,26,.808,9,34,13,8,2,11,25,,38,77,.494,4,22,.182,22,27,.815,11,54,23,7,4,17,24
86,,,,,,,79,79,2015-04-10,,MIL,L,91,99,34,72,.472,5,13,.385,18,24,.750,5,42,22,7,5,24,26,,37,76,.487,6,17,.353,19,29,.655,5,33,18,17,3,17,22
87,,,,,,,80,80,2015-04-11,@,ORL,W,80,79,31,82,.378,6,20,.300,12,13,.923,11,46,22,3,6,15,18,,30,84,.357,6,22,.273,13,18,.722,11,49,15,10,4,13,18
88,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
90,,,,,,,81,81,2015-04-13,@,ATL,W,112,108,43,77,.558,13,25,.520,13,19,.684,9,39,33,7,7,17,19,,39,88,.443,11,32,.344,19,23,.826,12,37,27,10,3,8,17
91,,,,,,,82,82,2015-04-15,,DET,L,90,112,33,77,.429,7,19,.368,17,27,.630,12,40,19,6,3,20,18,,41,81,.506,10,26,.385,20,27,.741,11,44,20,14,3,12,22
