,,,,Team,,Opponent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
2,,,,,,,1,1,2013-10-30,,MIL,W,90,83,36,71,.507,3,13,.231,15,17,.882,6,34,17,12,6,22,16,,34,74,.459,5,16,.313,10,12,.833,5,31,19,10,4,23,22
3,,,,,,,2,2,2013-10-31,@,CHI,L,81,82,31,86,.360,9,24,.375,10,14,.714,13,42,20,12,8,15,24,,31,76,.408,3,16,.188,17,19,.895,13,48,20,5,3,18,16
4,,,,,,,3,3,2013-11-03,,MIN,L,100,109,40,89,.449,9,32,.281,11,13,.846,14,49,21,7,3,16,26,,35,79,.443,10,27,.370,29,38,.763,10,43,23,9,1,12,16
5,,,,,,,4,4,2013-11-05,,CHA,L,97,102,35,82,.427,8,28,.286,19,23,.826,11,33,12,11,4,14,27,,30,71,.423,8,21,.381,34,42,.810,16,51,17,9,5,22,25
6,,,,,,,5,5,2013-11-08,@,CHA,W,101,91,42,90,.467,12,26,.462,5,9,.556,12,37,25,5,9,12,22,,31,76,.408,4,16,.250,25,30,.833,10,41,13,4,8,14,15
7,,,,,,,6,6,2013-11-10,,SAS,L,89,120,31,82,.378,6,22,.273,21,29,.724,9,33,16,6,1,10,22,,41,76,.539,12,28,.429,26,30,.867,9,51,22,5,4,13,19
8,,,,,,,7,7,2013-11-13,@,ATL,W,95,91,37,88,.420,12,34,.353,9,13,.692,8,37,24,11,3,3,19,,35,77,.455,5,24,.208,16,21,.762,8,47,22,1,6,15,15
9,,,,,,,8,8,2013-11-14,,HOU,L,106,109,38,87,.437,8,20,.400,22,27,.815,10,36,20,6,5,9,28,,31,68,.456,9,28,.321,38,44,.864,11,43,14,6,6,14,19
10,,,,,,,9,9,2013-11-16,,ATL,L,90,110,34,90,.378,10,30,.333,12,16,.750,19,48,19,6,3,14,20,,44,78,.564,9,22,.409,13,17,.765,5,36,20,9,4,13,15
11,,,,,,,10,10,2013-11-19,@,DET,L,86,92,33,76,.434,6,24,.250,14,18,.778,10,35,16,9,3,13,22,,35,70,.500,7,19,.368,15,21,.714,10,37,19,6,4,15,20
12,,,,,,,11,11,2013-11-20,,IND,L,96,103,37,100,.370,8,30,.267,14,17,.824,16,52,15,9,5,15,32,,33,87,.379,9,30,.300,28,36,.778,10,49,16,7,8,14,19
13,,,,,,,12,12,2013-11-23,@,WAS,L,89,98,36,82,.439,11,29,.379,6,15,.400,11,40,24,7,3,9,24,,37,76,.487,7,19,.368,17,22,.773,11,45,23,4,4,12,18
14,,,,,,,13,13,2013-11-25,@,POR,L,91,102,38,85,.447,6,15,.400,9,14,.643,10,44,24,5,3,9,17,,37,84,.440,9,25,.360,19,22,.864,10,46,19,3,5,8,15
15,,,,,,,14,14,2013-11-27,@,LAC,L,80,93,32,83,.386,3,20,.150,13,15,.867,12,44,20,6,6,14,27,,32,74,.432,6,25,.240,23,31,.742,7,42,17,8,2,13,17
16,,,,,,,15,15,2013-11-29,@,DEN,L,95,97,34,83,.410,6,22,.273,21,25,.840,8,42,16,6,6,10,24,,31,71,.437,9,24,.375,26,34,.765,5,44,19,4,5,14,23
17,,,,,,,16,16,2013-12-01,,NOP,L,99,103,34,76,.447,13,35,.371,18,21,.857,13,42,23,9,9,17,23,,38,77,.494,10,21,.476,17,23,.739,9,32,22,10,1,12,19
18,,,,,,,17,17,2013-12-05,@,BRK,W,113,83,44,77,.571,16,27,.593,9,11,.818,7,30,24,11,7,12,29,,29,73,.397,4,16,.250,21,31,.677,15,35,11,3,3,16,25
19,,,,,,,18,18,2013-12-06,,ORL,W,121,83,44,83,.530,17,34,.500,16,19,.842,10,45,25,8,5,10,20,,30,70,.429,10,25,.400,13,20,.650,4,31,19,5,3,12,19
20,,,,,,,19,19,2013-12-08,,BOS,L,73,114,25,73,.342,6,16,.375,17,23,.739,4,26,13,10,3,14,18,,39,72,.542,14,25,.560,22,27,.815,7,46,22,9,3,16,19
21,,,,,,,20,20,2013-12-10,@,CLE,L,94,109,40,87,.460,10,31,.323,4,5,.800,9,31,27,4,5,13,19,,42,74,.568,9,19,.474,16,22,.727,9,38,25,6,1,12,13
22,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
24,,,,,,,21,21,2013-12-11,,CHI,W,83,78,31,76,.408,5,19,.263,16,19,.842,10,39,17,16,7,13,21,,24,72,.333,6,21,.286,24,29,.828,16,48,12,9,7,22,19
25,,,,,,,22,22,2013-12-13,@,BOS,L,86,90,32,80,.400,5,21,.238,17,19,.895,9,38,20,7,1,6,19,,33,68,.485,7,21,.333,17,25,.680,6,42,17,1,5,15,19
26,,,,,,,23,23,2013-12-14,,ATL,W,111,106,44,87,.506,8,19,.421,15,18,.833,15,32,19,14,1,11,16,,40,66,.606,15,32,.469,11,11,1.000,6,34,22,6,1,27,24
27,,,,,,,24,24,2013-12-16,,WAS,L,101,102,33,79,.418,11,30,.367,24,31,.774,9,35,21,9,6,9,20,,39,72,.542,11,18,.611,13,17,.765,6,41,21,4,3,19,25
28,,,,,,,25,25,2013-12-18,@,MIL,W,107,101,38,101,.376,17,41,.415,14,19,.737,14,51,26,11,6,12,31,,34,82,.415,8,22,.364,25,35,.714,13,54,13,4,5,20,25
29,,,,,,,26,26,2013-12-21,,MEM,L,87,95,33,79,.418,6,22,.273,15,23,.652,6,29,21,12,6,7,15,,39,82,.476,1,9,.111,16,19,.842,13,56,17,5,3,16,16
30,,,,,,,27,27,2013-12-23,@,ORL,W,103,98,39,86,.453,10,21,.476,15,19,.789,9,47,19,3,4,9,21,,37,89,.416,8,25,.320,16,22,.727,12,44,24,4,4,9,21
31,,,,,,,28,28,2013-12-25,,OKC,L,94,123,38,90,.422,6,23,.261,12,19,.632,12,42,23,5,2,12,22,,45,84,.536,13,24,.542,20,26,.769,8,46,32,8,3,10,21
32,,,,,,,29,29,2013-12-27,,TOR,L,83,95,30,79,.380,10,19,.526,13,21,.619,13,42,19,11,5,16,29,,31,73,.425,10,28,.357,23,33,.697,15,50,21,6,4,16,20
33,,,,,,,30,30,2013-12-28,@,TOR,L,100,115,39,80,.488,7,21,.333,15,20,.750,7,37,23,11,4,14,26,,36,80,.450,15,32,.469,28,34,.824,13,45,23,8,4,14,22
34,,,,,,,31,31,2014-01-02,@,SAS,W,105,101,39,76,.513,9,17,.529,18,20,.900,9,40,19,7,5,13,23,,37,77,.481,14,32,.438,13,19,.684,9,34,29,5,4,12,16
35,,,,,,,32,32,2014-01-03,@,HOU,L,100,102,37,89,.416,9,24,.375,17,24,.708,17,44,20,9,3,8,22,,34,74,.459,10,26,.385,24,28,.857,10,44,16,4,4,15,19
36,,,,,,,33,33,2014-01-05,@,DAL,W,92,80,37,76,.487,5,13,.385,13,16,.813,9,47,20,8,3,14,18,,32,78,.410,6,26,.231,10,18,.556,7,34,13,6,1,10,17
37,,,,,,,34,34,2014-01-07,,DET,W,89,85,33,81,.407,9,26,.346,14,20,.700,9,38,24,10,4,13,22,,32,86,.372,3,19,.158,18,23,.783,16,54,19,8,4,16,20
38,,,,,,,35,35,2014-01-09,,MIA,W,102,92,44,82,.537,9,24,.375,5,10,.500,10,43,25,8,1,10,19,,37,68,.544,7,21,.333,11,21,.524,4,32,20,7,4,15,13
39,,,,,,,36,36,2014-01-11,@,PHI,W,102,92,39,82,.476,6,18,.333,18,23,.783,10,39,26,11,2,13,20,,36,78,.462,5,19,.263,15,21,.714,9,38,22,7,2,15,20
40,,,,,,,37,37,2014-01-13,,PHO,W,98,96,35,81,.432,7,20,.350,21,27,.778,12,53,11,3,5,18,30,,33,93,.355,7,30,.233,23,28,.821,17,49,14,6,3,10,25
41,,,,,,,38,38,2014-01-14,@,CHA,L,98,108,39,81,.481,6,17,.353,14,18,.778,4,32,21,4,8,9,23,,38,75,.507,6,14,.429,26,33,.788,5,37,21,4,2,5,20
42,,,,,,,39,39,2014-01-16,@,IND,L,89,117,34,85,.400,4,19,.211,17,22,.773,12,46,16,2,6,12,22,,43,86,.500,10,23,.435,21,23,.913,7,43,26,3,6,5,19
43,,,,,,,40,40,2014-01-17,,LAC,L,95,109,29,83,.349,7,23,.304,30,36,.833,20,55,20,2,1,18,32,,33,78,.423,8,30,.267,35,42,.833,8,44,17,9,4,11,27
44,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
46,,,,,,,41,41,2014-01-20,,BRK,L,80,103,24,71,.338,8,25,.320,24,37,.649,14,45,13,4,3,16,17,,37,75,.493,14,38,.368,15,20,.750,8,45,25,11,4,14,27
47,,,,,,,42,42,2014-01-22,,PHI,L,106,110,37,82,.451,15,33,.455,17,24,.708,8,39,24,7,12,13,24,,42,88,.477,9,14,.643,17,24,.708,17,54,28,8,4,14,24
48,,,,,,,43,43,2014-01-24,,CHA,W,125,96,50,90,.556,14,27,.519,11,11,1.000,12,42,23,7,4,4,19,,37,76,.487,10,24,.417,12,14,.857,6,31,23,1,3,11,11
49,,,,,,,44,44,2014-01-26,,LAL,W,110,103,43,90,.478,11,26,.423,13,18,.722,16,45,21,4,6,11,19,,39,75,.520,11,23,.478,14,18,.778,5,35,16,6,3,11,20
50,,,,,,,45,45,2014-01-28,,BOS,W,114,88,44,82,.537,10,20,.500,16,23,.696,12,46,25,9,7,15,20,,32,82,.390,6,22,.273,18,24,.750,13,40,21,8,2,17,22
51,,,,,,,46,46,2014-01-30,,CLE,W,117,86,43,76,.566,12,26,.462,19,28,.679,8,44,21,5,10,16,18,,31,87,.356,8,23,.348,16,22,.727,13,36,14,10,2,12,25
52,,,,,,,47,47,2014-02-01,,MIA,L,91,106,33,67,.493,11,26,.423,14,23,.609,9,33,14,7,4,17,22,,41,76,.539,8,23,.348,16,24,.667,7,34,18,10,3,13,20
53,,,,,,,48,48,2014-02-03,@,MIL,L,98,101,34,78,.436,15,34,.441,15,24,.625,8,40,17,4,2,9,20,,36,81,.444,11,18,.611,18,21,.857,12,44,20,3,1,11,24
54,,,,,,,49,49,2014-02-05,,POR,L,90,94,36,90,.400,4,21,.190,14,20,.700,15,48,18,8,5,9,24,,30,79,.380,8,21,.381,26,33,.788,12,49,17,5,5,14,16
55,,,,,,,50,50,2014-02-07,,DEN,W,117,90,48,85,.565,11,28,.393,10,14,.714,9,43,23,16,1,23,23,,32,76,.421,7,26,.269,19,26,.731,10,34,12,10,0,23,21
56,,,,,,,51,51,2014-02-09,@,OKC,L,100,112,38,86,.442,9,24,.375,15,20,.750,12,38,27,6,3,12,21,,40,73,.548,12,27,.444,20,27,.741,5,41,28,6,5,10,19
57,,,,,,,52,52,2014-02-12,,SAC,L,101,106,41,90,.456,9,24,.375,10,14,.714,13,45,27,7,3,18,21,,40,85,.471,10,23,.435,16,19,.842,11,42,16,7,1,15,18
58,,,,,,,53,53,2014-02-18,@,MEM,L,93,98,35,85,.412,6,27,.222,17,20,.850,14,39,15,8,5,12,23,,37,75,.493,6,12,.500,18,24,.750,10,38,20,5,7,13,22
59,,,,,,,54,54,2014-02-19,@,NOP,W,98,91,37,83,.446,10,21,.476,14,20,.700,13,38,20,8,6,9,17,,35,75,.467,7,21,.333,14,21,.667,10,42,16,6,9,13,20
60,,,,,,,55,55,2014-02-21,@,ORL,L,121,129,45,95,.474,15,34,.441,16,23,.696,7,44,24,6,4,13,21,,49,99,.495,9,16,.563,22,26,.846,7,49,29,7,3,11,19
61,,,,,,,56,56,2014-02-22,@,ATL,L,98,107,39,89,.438,10,28,.357,10,16,.625,8,41,22,6,4,10,24,,32,74,.432,16,31,.516,27,33,.818,7,40,19,2,4,10,18
62,,,,,,,57,57,2014-02-24,,DAL,L,108,110,40,76,.526,14,33,.424,14,16,.875,11,41,23,3,3,19,24,,41,86,.477,15,36,.417,13,16,.813,11,34,27,5,3,10,19
63,,,,,,,58,58,2014-02-27,@,MIA,L,82,108,31,83,.373,4,23,.174,16,22,.727,14,40,16,7,1,13,21,,45,74,.608,6,15,.400,12,18,.667,3,39,18,5,3,12,22
64,,,,,,,59,59,2014-02-28,,GSW,L,103,126,36,95,.379,10,25,.400,21,23,.913,13,50,14,8,4,17,24,,44,92,.478,14,35,.400,24,31,.774,12,49,25,11,5,15,21
65,,,,,,,60,60,2014-03-02,@,CHI,L,90,109,35,79,.443,5,18,.278,15,18,.833,12,44,17,0,5,12,23,,39,84,.464,8,22,.364,23,33,.697,14,45,30,9,5,3,12
66,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
68,,,,,,,61,61,2014-03-03,@,DET,L,85,96,32,83,.386,10,28,.357,11,14,.786,12,40,16,8,6,16,27,,35,83,.422,4,12,.333,22,30,.733,15,54,21,11,4,16,14
69,,,,,,,62,62,2014-03-05,@,MIN,W,118,106,47,90,.522,11,27,.407,13,19,.684,12,39,24,11,4,12,24,,39,90,.433,7,26,.269,21,24,.875,17,47,20,4,1,14,19
70,,,,,,,63,63,2014-03-07,,UTA,W,108,81,42,85,.494,12,31,.387,12,18,.667,8,35,24,9,7,7,19,,30,73,.411,6,27,.222,15,20,.750,12,47,13,4,3,19,16
71,,,,,,,64,64,2014-03-08,@,CLE,W,107,97,38,88,.432,14,31,.452,17,23,.739,13,49,26,7,9,13,16,,36,87,.414,9,23,.391,16,18,.889,9,37,21,8,5,10,17
72,,,,,,,65,65,2014-03-10,,PHI,W,123,110,44,81,.543,13,32,.406,22,34,.647,10,35,20,10,6,13,24,,43,84,.512,6,20,.300,18,25,.720,14,42,26,9,1,18,25
73,,,,,,,66,66,2014-03-12,@,BOS,W,116,92,42,80,.525,11,19,.579,21,24,.875,12,47,20,11,7,8,21,,34,81,.420,8,19,.421,16,23,.696,16,38,15,4,2,11,18
74,,,,,,,67,67,2014-03-15,,MIL,W,115,94,42,76,.553,8,20,.400,23,28,.821,13,41,14,3,7,11,23,,35,81,.432,4,10,.400,20,27,.741,15,32,17,6,1,10,21
75,,,,,,,68,68,2014-03-19,,IND,W,92,86,32,82,.390,4,17,.235,24,29,.828,10,45,15,6,2,10,26,,31,73,.425,5,23,.217,19,27,.704,6,40,12,3,5,13,25
76,,,,,,,69,69,2014-03-21,@,PHI,W,93,92,34,82,.415,7,29,.241,18,25,.720,9,47,29,6,2,11,17,,34,91,.374,10,41,.244,14,21,.667,19,53,20,8,1,10,22
77,,,,,,,70,70,2014-03-23,,CLE,L,100,106,35,77,.455,12,27,.444,18,19,.947,9,34,21,7,2,12,13,,42,69,.609,9,18,.500,13,17,.765,3,33,17,5,3,13,18
78,,,,,,,71,71,2014-03-25,@,LAL,L,96,127,36,74,.486,4,15,.267,20,27,.741,8,32,23,9,4,15,16,,48,83,.578,18,28,.643,13,15,.867,8,38,32,10,2,16,23
79,,,,,,,72,72,2014-03-26,@,SAC,W,107,99,40,73,.548,15,26,.577,12,13,.923,7,34,25,3,4,14,30,,33,69,.478,6,17,.353,27,35,.771,8,32,19,7,2,10,18
80,,,,,,,73,73,2014-03-28,@,PHO,L,88,112,35,87,.402,8,25,.320,10,16,.625,13,37,14,7,2,11,24,,40,88,.455,14,33,.424,18,23,.783,18,56,18,8,7,12,19
81,,,,,,,74,74,2014-03-30,@,GSW,W,89,84,32,80,.400,9,25,.360,16,18,.889,10,40,15,5,3,9,19,,28,79,.354,10,31,.323,18,22,.818,14,46,14,2,7,10,19
82,,,,,,,75,75,2014-03-31,@,UTA,W,92,83,33,70,.471,9,29,.310,17,24,.708,3,38,18,8,6,9,18,,33,85,.388,8,24,.333,9,15,.600,16,50,15,5,0,11,23
83,,,,,,,76,76,2014-04-02,,BRK,W,110,81,42,70,.600,11,25,.440,15,20,.750,9,41,21,11,5,15,25,,26,65,.400,8,26,.308,21,28,.750,7,23,11,9,0,16,16
84,,,,,,,77,77,2014-04-04,,WAS,L,89,90,34,76,.447,14,31,.452,7,8,.875,8,34,23,9,1,16,14,,38,78,.487,5,19,.263,9,15,.600,12,41,18,7,0,15,15
85,,,,,,,78,78,2014-04-06,@,MIA,L,91,102,33,88,.375,15,42,.357,10,13,.769,15,38,18,10,2,10,24,,34,61,.557,12,27,.444,22,30,.733,7,35,22,6,0,16,17
86,,,,,,,79,79,2014-04-11,@,TOR,W,108,100,35,73,.479,6,24,.250,32,36,.889,7,39,16,6,3,8,24,,30,76,.395,15,33,.455,25,31,.806,14,42,16,2,4,14,24
87,,,,,,,80,80,2014-04-13,,CHI,W,100,89,37,81,.457,9,25,.360,17,21,.810,7,36,16,9,5,9,25,,29,74,.392,6,22,.273,25,32,.781,12,45,23,4,1,16,19
88,,,,,,,,,,Team,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,Rk,G,Date,?,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,?,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
90,,,,,,,81,81,2014-04-15,@,BRK,W,109,98,32,67,.478,11,21,.524,34,40,.850,8,36,15,11,5,16,28,,33,75,.440,10,25,.400,22,31,.710,12,38,25,10,1,19,26
91,,,,,,,82,82,2014-04-16,,TOR,W,95,92,37,81,.457,8,17,.471,13,19,.684,11,36,13,12,6,16,23,,36,80,.450,9,29,.310,11,18,.611,12,48,20,9,2,24,20
