Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19780,3532,7140,0.495,982,2563,0.383,2550,4577,0.557,1457,1850,0.788,771,2873,3644,2490,785,555,1211,1585,9503
2,Houston Rockets*,82,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2747,3639,2070,670,351,1241,1634,9458
3,Denver Nuggets,82,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2836,3802,2077,568,324,1225,1567,9161
4,Cleveland Cavaliers*,82,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,767,2822,3589,1858,540,329,1122,1486,9048
5,Washington Wizards*,82,19855,3388,7136,0.475,756,2030,0.372,2632,5106,0.515,1421,1812,0.784,842,2670,3512,1956,693,340,1161,1745,8953
6,Los Angeles Clippers*,82,19755,3242,6819,0.475,841,2245,0.375,2401,4574,0.525,1586,2128,0.745,740,2790,3530,1848,613,349,1064,1626,8911
7,Boston Celtics*,82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,341,1088,1686,8857
8,Portland Trail Blazers*,82,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851
9,Phoenix Suns,82,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,977,2712,3689,1604,673,399,1266,2030,8831
10,Toronto Raptors*,82,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,401,1041,1708,8762
11,Oklahoma City Thunder*,82,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741
12,Brooklyn Nets,82,19755,3102,6987,0.444,877,2592,0.338,2225,4395,0.506,1592,2020,0.788,720,2879,3599,1756,594,387,1356,1726,8673
13,Minnesota Timberwolves,82,19805,3235,6922,0.467,601,1724,0.349,2634,5198,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657
14,San Antonio Spurs*,82,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,822,2777,3599,1954,654,486,1101,1498,8637
15,Indiana Pacers*,82,19855,3221,6932,0.465,709,1885,0.376,2512,5047,0.498,1467,1811,0.81,742,2702,3444,1844,669,411,1128,1597,8618
16,Charlotte Hornets,82,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601
17,Los Angeles Lakers,82,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,675,320,1243,1698,8575
18,New Orleans Pelicans,82,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,706,2879,3585,1869,638,453,1054,1490,8556
19,New York Knicks,82,19855,3244,7255,0.447,704,2022,0.348,2540,5233,0.485,1364,1731,0.788,982,2722,3704,1786,581,456,1139,1668,8556
20,Milwaukee Bucks*,82,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497
21,Miami Heat,82,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,873,2706,3579,1742,586,469,1102,1680,8460
22,Atlanta Hawks*,82,19880,3123,6919,0.451,729,2137,0.341,2394,4782,0.501,1484,2039,0.728,844,2793,3637,1938,672,397,1294,1491,8459
23,Chicago Bulls*,82,19780,3169,7142,0.444,623,1830,0.34,2546,5312,0.479,1474,1848,0.798,999,2796,3795,1851,644,394,1110,1455,8435
24,Sacramento Kings,82,19880,3105,6735,0.461,737,1961,0.376,2368,4774,0.496,1483,1913,0.775,715,2661,3376,1844,626,325,1201,1667,8430
25,Philadelphia 76ers,82,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400
26,Detroit Pistons,82,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1731,574,310,973,1467,8309
27,Orlando Magic,82,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,395,1091,1584,8288
28,Utah Jazz*,82,19755,3033,6514,0.466,791,2128,0.372,2242,4386,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1119,1545,8258
29,Memphis Grizzlies*,82,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,885,2621,3506,1744,654,343,1060,1840,8239
30,Dallas Mavericks,82,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,648,2516,3164,1705,615,309,972,1567,8029
,League Average,82,19813,3202,7004,0.457,792,2214,0.358,2410,4790,0.503,1463,1895,0.772,832,2737,3569,1855,632,390,1144,1632,8658
