Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks*,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,92.6,0.244,0.28600000000000003,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.18100000000000002,82,44,38,0.537,19855,3084,6644,0.46399999999999997,706,1901,0.371,2378,4743,0.501,1158,1619,0.715,758,2593,3351,2007,664,369,1219,1473,8032
Boston Celtics*,29.1,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.48200000000000004,14.2,73.3,0.21600000000000003,81,41,40,0.506,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.7759999999999999,654,2533,3187,1843,667,365,1181,1717,7818
Brooklyn Nets*,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,0.299,0.26899999999999996,0.536,0.498,14.0,30.9,0.21899999999999997,0.503,13.1,73.7,0.174,82,49,33,0.598,19855,2942,6544,0.45,628,1760,0.35700000000000004,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944
Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.19699999999999998,82,21,61,0.256,19805,2823,6649,0.425,469,1399,0.335,2354,5250,0.44799999999999995,1546,2060,0.75,917,2389,3306,1587,591,479,1153,1561,7661
Chicago Bulls*,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,89.3,0.259,0.18899999999999997,0.512,0.47,13.6,29.4,0.201,0.47700000000000004,13.2,73.6,0.20600000000000002,82,45,37,0.5489999999999999,19830,2926,6698,0.43700000000000006,446,1265,0.353,2480,5433,0.456,1343,1738,0.773,1026,2514,3540,1886,588,417,1171,1617,7641
Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,0.265,0.22899999999999998,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,82,24,58,0.293,19730,2993,6901,0.434,547,1581,0.34600000000000003,2446,5320,0.46,1380,1826,0.7559999999999999,1004,2359,3363,1694,647,334,1149,1737,7913
Dallas Mavericks,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,94.1,0.242,0.23600000000000002,0.544,0.506,13.0,21.8,0.192,0.49200000000000005,13.3,73.1,0.22699999999999998,82,41,41,0.5,19980,3182,6892,0.462,606,1628,0.37200000000000005,2576,5264,0.489,1323,1669,0.7929999999999999,767,2670,3437,1906,648,454,1144,1698,8293
Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,95.1,0.308,0.217,0.5489999999999999,0.515,13.6,31.4,0.21600000000000003,0.493,14.3,71.8,0.193,82,57,25,0.695,19905,3339,6983,0.478,521,1518,0.34299999999999997,2818,5465,0.516,1505,2148,0.701,1092,2601,3693,2002,762,533,1253,1682,8704
Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,90.8,0.282,0.217,0.521,0.48700000000000004,14.3,28.3,0.19699999999999998,0.505,13.1,73.0,0.209,82,29,53,0.354,19805,2979,6638,0.449,513,1440,0.35600000000000004,2466,5198,0.474,1307,1870,0.6990000000000001,991,2463,3454,1742,574,400,1241,1623,7778
Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.21100000000000002,82,47,35,0.573,19805,3130,6840,0.45799999999999996,658,1632,0.40299999999999997,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296
