Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks*,27.5,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.5539999999999999,0.515,14.3,21.0,0.20800000000000002,0.51,14.0,74.4,0.196,82,38,44,0.46299999999999997,19830,3061,6688,0.45799999999999996,768,2116,0.363,2293,4572,0.502,1392,1782,0.7809999999999999,713,2565,3278,2041,680,326,1251,1577,8282
Boston Celtics,25.4,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.517,0.47700000000000004,14.2,27.4,0.193,0.505,13.4,74.2,0.227,82,25,57,0.305,19730,2996,6883,0.435,575,1729,0.33299999999999996,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892
Brooklyn Nets*,30.0,44,38,38,44,-1.0,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.23600000000000002,0.509,14.9,72.3,0.236,82,44,38,0.537,19880,2931,6391,0.45899999999999996,709,1922,0.369,2222,4469,0.49700000000000005,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079
Charlotte Bobcats*,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.21899999999999997,0.522,0.48100000000000004,11.7,21.9,0.21899999999999997,0.491,12.6,77.6,0.183,82,43,39,0.524,19905,2976,6730,0.442,516,1471,0.35100000000000003,2460,5259,0.46799999999999997,1474,2000,0.737,776,2724,3500,1778,499,421,1010,1493,7942
Chicago Bulls*,28.6,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,90.2,0.29,0.222,0.518,0.47100000000000003,14.2,27.2,0.226,0.47100000000000003,13.7,75.4,0.189,82,48,34,0.585,19930,2843,6577,0.43200000000000005,508,1459,0.348,2335,5118,0.456,1486,1908,0.779,937,2683,3620,1860,594,424,1223,1565,7680
Cleveland Cavaliers,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.23600000000000002,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,82,33,49,0.402,19930,3036,6955,0.43700000000000006,584,1640,0.35600000000000004,2452,5315,0.461,1398,1861,0.7509999999999999,989,2629,3618,1738,579,304,1163,1640,8054
Dallas Mavericks*,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,93.5,0.253,0.27399999999999997,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,82,49,33,0.598,19830,3249,6858,0.474,721,1877,0.384,2528,4981,0.508,1378,1733,0.795,840,2514,3354,1935,704,356,1110,1636,8597
Denver Nuggets,26.0,36,46,35,47,-2.15,0.75,-1.4,106.0,108.2,98.1,0.306,0.278,0.536,0.49700000000000005,14.0,27.5,0.222,0.5,12.8,74.5,0.233,82,36,46,0.439,19755,3147,7042,0.447,702,1959,0.358,2445,5083,0.48100000000000004,1563,2154,0.726,1009,2717,3726,1838,615,459,1305,1890,8559
Detroit Pistons,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,94.9,0.29600000000000004,0.222,0.514,0.48200000000000004,12.9,31.4,0.19899999999999998,0.52,13.8,73.4,0.218,82,29,53,0.354,19780,3182,7124,0.447,507,1580,0.321,2675,5544,0.483,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286
Golden State Warriors*,26.3,51,31,54,28,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.29100000000000004,0.55,0.517,13.8,25.1,0.18600000000000003,0.47700000000000004,13.6,76.3,0.224,82,51,31,0.622,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549
