Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,Off eFG%,Off TOV%,Off ORB%,Off FT/FGA,Def eFG%,Def TOV%,Def DRB%,Def FT/FGA,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks*,27.9,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.8,97.4,0.295,0.309,0.541,0.504,14.2,23.7,0.214,0.507,13.8,76.1,0.179,82,43,39,0.524,19880,3123,6919,0.451,729,2137,0.341,2394,4782,0.501,1484,2039,0.728,844,2793,3637,1938,672,397,1294,1491,8459
Boston Celtics*,25.9,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,82,53,29,0.646,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,341,1088,1686,8857
Brooklyn Nets,26,20,62,24,58,-6.73,-0.01,-6.74,104,110.7,101.3,0.289,0.371,0.551,0.507,14.7,19.5,0.228,0.513,11.6,76.2,0.212,82,20,62,0.244,19755,3102,6987,0.444,877,2592,0.338,2225,4395,0.506,1592,2020,0.788,720,2879,3599,1756,594,387,1356,1726,8673
Charlotte Hornets,26.5,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,82,36,46,0.439,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601
Chicago Bulls*,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107,95.3,0.259,0.256,0.53,0.487,12.2,27,0.206,0.507,12.4,76.8,0.169,82,41,41,0.5,19780,3169,7142,0.444,623,1830,0.34,2546,5312,0.479,1474,1848,0.798,999,2796,3795,1851,644,394,1110,1455,8435
Cleveland Cavaliers*,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.58,0.547,12.6,22,0.206,0.516,11.4,75.8,0.174,82,51,31,0.622,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,767,2822,3589,1858,540,329,1122,1486,9048
Dallas Mavericks,27.6,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,82,33,49,0.402,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,648,2516,3164,1705,615,309,972,1567,8029
Denver Nuggets,25.2,40,42,42,40,0.51,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.6,0.194,82,40,42,0.488,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2836,3802,2077,568,324,1225,1567,9161
Detroit Pistons,25.4,37,45,38,44,-1.12,-0.17,-1.29,106,107.2,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,82,37,45,0.451,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1731,574,310,973,1467,8309
Golden State Warriors*,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.485,13.5,74.9,0.198,82,67,15,0.817,19780,3532,7140,0.495,982,2563,0.383,2550,4577,0.557,1457,1850,0.788,771,2873,3644,2490,785,555,1211,1585,9503
