,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Tim Duncan,33,78,77,31.3,7.2,13.9,.518,0.0,0.1,.182,7.2,13.7,.522,.519,3.5,4.8,.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9
2,2,Richard Jefferson,29,81,70,31.1,4.5,9.6,.467,0.7,2.3,.316,3.7,7.3,.515,.505,2.6,3.5,.735,0.7,3.7,4.4,2.0,0.6,0.5,1.3,2.2,12.3
3,3,Tony Parker,27,56,50,30.9,6.2,12.8,.487,0.2,0.6,.294,6.1,12.2,.497,.494,3.3,4.4,.756,0.1,2.3,2.4,5.7,0.5,0.1,2.7,1.7,16.0
4,4,George Hill,23,78,43,29.2,4.5,9.5,.478,1.0,2.4,.399,3.6,7.1,.505,.529,2.3,3.0,.772,0.5,2.1,2.6,2.9,0.9,0.3,1.3,2.8,12.4
5,5,Manu Ginobili,32,75,21,28.7,5.3,12.0,.441,1.8,4.7,.377,3.5,7.4,.481,.514,4.1,4.7,.870,0.9,2.9,3.8,4.9,1.4,0.3,2.1,2.1,16.5
6,6,Antonio McDyess,35,77,50,21.0,2.7,5.6,.479,0.0,0.0,.000,2.7,5.5,.481,.479,0.5,0.7,.632,1.9,4.0,5.9,1.1,0.6,0.4,1.0,1.9,5.8
7,7,Keith Bogans,29,79,50,19.7,1.5,3.8,.403,0.9,2.5,.357,0.6,1.3,.490,.520,0.5,0.6,.740,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4
8,8,Roger Mason,29,79,5,19.2,2.4,6.3,.389,1.1,3.3,.333,1.3,2.9,.453,.478,0.3,0.4,.794,0.1,1.9,2.1,1.7,0.4,0.2,0.7,1.3,6.3
9,9,DeJuan Blair,20,82,23,18.2,3.4,6.0,.556,0.0,0.0,.000,3.4,6.0,.558,.556,1.1,2.0,.547,2.4,4.0,6.4,0.8,0.6,0.5,1.4,2.7,7.8
10,10,Matt Bonner,29,65,8,17.9,2.6,5.7,.446,1.4,3.6,.390,1.2,2.2,.539,.567,0.5,0.7,.729,0.8,2.5,3.3,1.0,0.5,0.4,0.6,1.7,7.0
11,11,Michael Finley,36,25,6,15.8,1.5,3.9,.381,0.5,1.6,.317,1.0,2.2,.429,.448,0.2,0.4,.667,0.2,1.3,1.5,0.8,0.2,0.2,0.5,0.5,3.7
12,12,Garrett Temple,23,13,4,14.8,2.2,4.9,.438,0.8,1.8,.435,1.4,3.2,.439,.516,1.1,1.6,.667,0.2,0.8,1.1,0.9,0.6,0.2,0.8,1.9,6.2
13,13,Theo Ratliff,36,21,3,8.7,0.8,1.7,.444,0.0,0.0,,0.8,1.7,.444,.444,0.1,0.2,.500,0.7,1.2,1.9,0.4,0.1,0.9,0.8,1.3,1.6
14,14,Cedric Jackson,23,3,0,8.3,0.7,2.3,.286,0.0,0.7,.000,0.7,1.7,.400,.286,1.0,1.3,.750,0.3,1.0,1.3,2.0,1.0,0.7,0.7,0.7,2.3
15,15,Malik Hairston,22,47,0,6.7,0.9,1.6,.526,0.0,0.2,.182,0.8,1.4,.585,.539,0.4,0.6,.567,0.3,0.8,1.0,0.3,0.1,0.2,0.2,0.6,2.1
16,16,Ian Mahinmi,23,26,0,6.3,1.3,2.1,.636,0.0,0.0,,1.3,2.1,.636,.636,1.2,1.8,.660,0.5,1.5,2.0,0.1,0.1,0.3,0.6,1.2,3.9
17,17,Marcus Haislip,29,10,0,4.4,1.0,2.1,.476,0.3,0.5,.600,0.7,1.6,.438,.548,0.2,0.5,.400,0.4,0.6,1.0,0.0,0.0,0.2,0.3,0.5,2.5
