,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Tim Duncan,25,82,82,40.6,9.3,18.3,.508,0.0,0.1,.100,9.3,18.2,.511,.508,6.8,8.5,.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5
2,2,David Robinson,36,78,78,29.5,4.4,8.6,.507,0.0,0.0,,4.4,8.6,.507,.507,3.4,5.1,.681,2.4,5.8,8.3,1.2,1.1,1.8,1.3,2.5,12.2
3,3,Tony Parker,19,77,72,29.4,3.5,8.3,.419,0.8,2.5,.323,2.7,5.8,.460,.467,1.4,2.1,.675,0.4,2.1,2.6,4.3,1.2,0.1,2.0,2.2,9.2
4,4,Bruce Bowen,30,59,59,28.8,2.6,6.7,.389,0.9,2.5,.378,1.7,4.2,.396,.460,0.8,1.6,.479,0.7,2.0,2.7,1.5,1.1,0.4,1.1,2.0,7.0
5,5,Steve Smith,32,77,76,28.7,4.0,8.9,.455,1.5,3.2,.472,2.5,5.7,.445,.540,2.1,2.4,.878,0.6,1.9,2.5,2.0,0.7,0.2,1.4,2.1,11.6
6,6,Antonio Daniels,26,82,13,26.5,3.3,7.5,.440,0.7,2.4,.291,2.6,5.1,.510,.486,1.9,2.6,.752,0.3,1.9,2.1,2.8,0.6,0.1,0.9,1.3,9.2
7,7,Malik Rose,27,82,1,21.0,3.6,7.7,.463,0.0,0.1,.083,3.6,7.6,.470,.464,2.3,3.1,.720,2.1,3.9,6.0,0.7,0.9,0.5,1.7,2.5,9.4
8,8,Charles Smith,26,60,22,19.0,3.0,7.1,.425,0.6,2.2,.267,2.5,5.0,.495,.466,0.7,1.1,.646,0.6,1.7,2.2,1.3,0.9,0.7,1.0,1.9,7.4
9,9,Terry Porter,38,72,0,18.0,1.9,4.5,.424,0.8,2.0,.415,1.1,2.5,.430,.516,0.9,1.2,.819,0.2,2.1,2.3,2.8,0.6,0.2,1.2,1.2,5.5
10,10,Danny Ferry,35,50,2,16.0,1.5,3.5,.429,0.9,2.0,.434,0.7,1.6,.423,.551,0.7,0.7,.944,0.3,1.5,1.8,1.0,0.3,0.2,0.4,1.4,4.6
11,11,Stephen Jackson,23,23,1,9.9,1.5,4.0,.374,0.4,1.6,.250,1.1,2.4,.455,.423,0.5,0.7,.706,0.1,1.0,1.1,0.5,0.7,0.1,1.0,1.3,3.9
12,12,Jason Hart,23,10,0,9.2,1.0,1.9,.526,0.0,0.2,.000,1.0,1.7,.588,.526,0.6,0.6,1.000,0.4,0.9,1.3,1.2,0.7,0.1,0.8,1.6,2.6
13,13,Mark Bryant,36,30,3,6.9,0.8,1.8,.455,0.0,0.0,,0.8,1.8,.455,.455,0.2,0.3,.750,0.8,0.6,1.5,0.3,0.2,0.1,0.2,1.3,1.9
14,14,Amal McCaskill,28,27,0,5.7,0.7,1.8,.408,0.0,0.0,,0.7,1.8,.408,.408,0.4,1.0,.462,0.6,0.7,1.3,0.1,0.2,0.4,0.5,0.9,1.9
15,15,Cherokee Parks,29,42,1,5.6,0.7,2.0,.361,0.0,0.0,,0.7,2.0,.361,.361,0.1,0.2,.375,0.6,0.8,1.4,0.2,0.2,0.2,0.3,0.8,1.5
