,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Tim Duncan,30,80,80,34.1,7.7,14.1,.546,0.0,0.1,.111,7.7,14.0,.550,.547,4.5,7.1,.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0
2,2,Tony Parker,24,77,77,32.5,7.4,14.2,.520,0.2,0.5,.395,7.2,13.7,.525,.527,3.6,4.5,.783,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8,18.6
3,3,Bruce Bowen,35,82,82,30.0,2.3,5.7,.405,1.1,2.8,.384,1.2,2.9,.426,.500,0.5,0.9,.589,0.3,2.4,2.7,1.4,0.8,0.3,0.8,2.1,6.2
4,4,Manu Ginobili,29,75,36,27.5,5.3,11.4,.464,1.7,4.3,.396,3.6,7.1,.505,.539,4.3,5.0,.860,0.8,3.6,4.4,3.5,1.5,0.4,2.1,2.1,16.5
5,5,James White,24,6,2,22.8,3.0,6.8,.439,0.3,1.2,.286,2.7,5.7,.471,.463,2.0,2.5,.800,0.5,2.8,3.3,0.8,0.5,0.2,0.8,1.2,8.3
6,6,Michael Finley,33,82,16,22.2,3.3,8.1,.412,1.3,3.5,.364,2.1,4.6,.448,.490,1.1,1.2,.918,0.4,2.3,2.7,1.3,0.4,0.2,0.6,0.9,9.0
7,7,Brent Barry,35,75,28,21.7,2.7,5.7,.475,1.7,3.8,.446,1.0,1.8,.536,.626,1.4,1.6,.880,0.2,1.9,2.1,1.8,0.7,0.2,0.8,1.2,8.5
8,8,Francisco Elson,30,70,41,19.0,2.1,4.0,.511,0.0,0.0,.000,2.1,4.0,.514,.511,0.9,1.1,.775,1.2,3.6,4.8,0.8,0.4,0.8,1.2,2.6,5.0
9,9,Fabricio Oberto,31,79,33,17.3,2.0,3.6,.562,0.0,0.0,,2.0,3.6,.562,.562,0.4,0.6,.647,1.7,3.0,4.7,0.9,0.3,0.3,0.9,2.7,4.4
10,10,Robert Horry,36,68,8,16.5,1.3,3.7,.359,0.7,2.2,.336,0.6,1.5,.392,.458,0.6,0.9,.594,1.1,2.3,3.4,1.1,0.7,0.6,0.6,1.5,3.9
11,11,Beno Udrih,24,73,1,13.0,1.7,4.7,.369,0.5,1.6,.287,1.3,3.1,.410,.417,0.7,0.8,.883,0.2,1.0,1.1,1.7,0.4,0.0,0.8,1.0,4.7
12,12,Jacque Vaughn,31,64,4,11.9,1.1,2.6,.425,0.0,0.0,.500,1.1,2.6,.424,.428,0.8,1.0,.754,0.1,0.9,1.1,2.0,0.4,0.0,0.6,1.2,3.0
13,13,Matt Bonner,26,56,0,11.7,1.9,4.2,.447,0.6,1.7,.383,1.3,2.6,.490,.523,0.5,0.7,.711,1.1,1.6,2.8,0.4,0.3,0.2,0.4,1.2,4.9
14,14,Melvin Ely,28,6,0,10.8,1.0,3.3,.300,0.0,0.0,,1.0,3.3,.300,.300,1.2,2.0,.583,0.5,1.8,2.3,0.7,0.7,0.3,0.8,2.0,3.2
15,15,Jackie Butler,21,11,2,9.4,1.5,3.2,.457,0.0,0.0,,1.5,3.2,.457,.457,0.8,0.9,.900,0.5,1.5,2.0,0.5,0.2,0.0,0.9,1.5,3.7
16,16,Eric Williams,34,16,0,5.5,0.9,2.1,.441,0.5,1.1,.471,0.4,1.1,.412,.559,0.3,0.4,.571,0.1,0.8,0.9,0.4,0.1,0.0,0.3,0.4,2.6
