,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Tim Duncan,26,81,81,39.3,8.8,17.2,.513,0.1,0.3,.273,8.7,16.9,.517,.515,5.6,7.8,.710,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3
2,2,Tony Parker,20,82,82,33.8,5.9,12.7,.464,1.0,3.0,.337,4.9,9.8,.503,.503,2.7,3.5,.755,0.4,2.2,2.6,5.3,0.9,0.0,2.4,2.1,15.5
3,3,Bruce Bowen,31,82,82,31.3,2.7,5.8,.466,1.2,2.8,.441,1.5,3.0,.488,.571,0.4,1.1,.404,0.7,2.2,2.9,1.4,0.8,0.5,0.9,2.4,7.1
4,4,Stephen Jackson,24,80,58,28.2,4.5,10.2,.435,1.2,3.7,.320,3.3,6.5,.501,.493,1.7,2.3,.760,0.8,2.8,3.6,2.3,1.6,0.4,2.2,2.5,11.8
5,5,David Robinson,37,64,64,26.2,3.1,6.6,.469,0.0,0.0,,3.1,6.6,.469,.469,2.4,3.3,.710,2.5,5.4,7.9,1.0,0.8,1.7,1.3,2.0,8.5
6,6,Malik Rose,28,79,13,24.5,3.7,8.0,.459,0.0,0.1,.400,3.6,7.9,.459,.460,3.1,3.9,.791,1.9,4.5,6.4,1.6,0.7,0.5,2.2,2.6,10.4
7,7,Manu Ginobili,25,69,5,20.7,2.5,5.8,.438,0.7,2.1,.345,1.8,3.6,.494,.503,1.8,2.5,.737,0.7,1.7,2.3,2.0,1.4,0.2,1.4,2.5,7.6
8,8,Steve Smith,33,53,18,19.5,2.1,5.5,.388,0.7,2.2,.331,1.4,3.3,.428,.455,1.8,2.2,.833,0.4,1.5,1.9,1.3,0.5,0.2,0.8,1.5,6.8
9,9,Speedy Claxton,24,30,0,15.7,2.2,4.8,.462,0.0,0.4,.000,2.2,4.5,.500,.462,1.3,1.9,.684,0.7,1.1,1.9,2.5,0.7,0.2,1.2,1.4,5.8
10,10,Steve Kerr,37,75,0,12.7,1.5,3.4,.430,0.7,1.7,.395,0.8,1.8,.462,.525,0.4,0.5,.882,0.2,0.6,0.8,0.9,0.4,0.0,0.5,0.7,4.0
11,11,Kevin Willis,40,71,6,11.8,1.7,3.6,.479,0.0,0.0,.000,1.7,3.6,.482,.479,0.7,1.2,.614,1.2,2.0,3.2,0.3,0.3,0.3,0.8,1.7,4.2
12,12,Danny Ferry,36,64,1,9.4,0.7,1.9,.355,0.3,0.9,.350,0.4,1.0,.359,.440,0.2,0.2,.769,0.3,0.9,1.2,0.3,0.1,0.1,0.4,0.9,1.9
13,13,Anthony Goldwire,31,10,0,5.1,0.5,1.8,.278,0.2,0.8,.250,0.3,1.0,.300,.333,0.0,0.2,.000,0.0,0.3,0.3,0.3,0.3,0.0,0.2,0.5,1.2
14,14,Mengke Bateer,27,12,0,3.8,0.3,1.4,.235,0.1,0.3,.333,0.3,1.2,.214,.265,0.0,0.2,.000,0.2,0.7,0.8,0.3,0.0,0.0,0.5,1.2,0.8
15,15,Devin Brown,24,7,0,3.1,0.7,1.4,.500,0.0,0.0,,0.7,1.4,.500,.500,0.3,0.3,1.000,0.6,0.4,1.0,0.3,0.0,0.0,0.7,0.4,1.7
