,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,Tim Duncan,27,69,68,36.6,8.6,17.1,.501,0.0,0.2,.167,8.6,16.9,.505,.502,5.1,8.5,.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3
2,2,Tony Parker,21,75,75,34.4,5.6,12.6,.447,0.8,2.7,.312,4.8,10.0,.483,.480,2.5,3.6,.702,0.6,2.6,3.2,5.5,0.8,0.1,2.4,2.0,14.7
3,3,Bruce Bowen,32,82,82,32.0,2.6,6.1,.420,0.9,2.6,.363,1.6,3.5,.462,.497,0.8,1.4,.579,0.5,2.5,3.1,1.4,1.0,0.4,1.1,2.0,6.9
4,4,Manu Ginobili,26,77,38,29.4,4.3,10.2,.418,1.1,3.2,.359,3.1,7.1,.445,.474,3.1,3.9,.802,1.1,3.4,4.5,3.8,1.8,0.2,2.1,2.4,12.8
5,5,Rasho Nesterovic,27,82,82,28.7,4.0,8.5,.469,0.0,0.0,,4.0,8.5,.469,.469,0.7,1.4,.474,3.1,4.6,7.7,1.4,0.6,2.0,1.3,3.0,8.7
6,6,Hedo Turkoglu,24,80,44,25.9,3.3,8.1,.406,1.3,3.0,.419,2.0,5.1,.399,.484,1.4,2.0,.708,0.7,3.8,4.5,1.9,1.0,0.4,1.2,2.1,9.2
7,7,Malik Rose,29,67,13,18.7,2.6,6.0,.428,0.0,0.0,.000,2.6,6.0,.431,.428,2.7,3.4,.813,1.6,3.1,4.8,1.0,0.5,0.4,1.7,2.4,7.9
8,8,Anthony Carter,28,5,2,17.4,2.2,7.4,.297,0.0,0.6,.000,2.2,6.8,.324,.297,0.0,0.0,,0.4,1.8,2.2,2.4,0.8,0.0,2.4,1.8,4.4
9,9,Robert Horry,33,81,1,15.9,1.7,4.3,.405,0.5,1.3,.380,1.2,3.0,.417,.464,0.9,1.3,.645,1.3,2.0,3.4,1.2,0.6,0.6,0.7,2.0,4.8
10,10,Ron Mercer,27,39,0,13.2,2.3,5.4,.427,0.1,0.2,.286,2.3,5.2,.431,.431,0.3,0.4,.765,0.3,1.0,1.3,0.6,0.4,0.1,0.7,0.9,5.0
11,11,Jason Hart,25,53,5,12.5,1.3,3.0,.447,0.0,0.2,.222,1.3,2.8,.460,.453,0.6,0.8,.767,0.2,1.3,1.5,1.5,0.5,0.1,0.5,1.1,3.3
12,12,Shane Heal,33,6,0,12.0,1.2,4.0,.292,0.7,3.0,.222,0.5,1.0,.500,.375,0.7,0.8,.800,0.2,0.5,0.7,0.8,0.2,0.0,0.8,0.3,3.7
13,13,Charlie Ward,33,36,0,11.8,1.3,3.6,.346,0.7,1.9,.368,0.6,1.7,.323,.442,0.1,0.2,.667,0.1,1.3,1.3,1.3,0.5,0.1,0.8,0.9,3.3
14,14,Devin Brown,25,58,0,10.8,1.5,3.4,.434,0.1,0.2,.286,1.4,3.1,.445,.444,1.0,1.3,.811,0.7,1.6,2.2,0.6,0.3,0.1,0.7,1.1,4.0
15,15,Kevin Willis,41,48,0,7.8,1.5,3.1,.467,0.0,0.0,.000,1.5,3.1,.470,.467,0.5,0.8,.615,0.8,1.3,2.0,0.2,0.4,0.2,0.7,1.3,3.4
16,16,Matt Carroll,23,3,0,7.3,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.7,1.3,.500,0.3,0.7,1.0,0.3,0.3,0.0,1.3,1.7,2.0
17,17,Alex Garcia,23,2,0,6.5,0.5,3.5,.143,0.0,0.0,,0.5,3.5,.143,.143,0.5,1.0,.500,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.5
